SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,4578 Somerset Blvd SE,Bellevue,WA,98006,1420000,4,3.0,Somerset,2780,8326,1962,,511,7,Sold,,,https://www.redfin.com/WA/Bellevue/4578-Somerset-Blvd-SE-98006/home/236386,NWMLS,1113579,N,Y,47.5628413,-122.157134
PAST SALE,May-30-2017,Single Family Residential,16627 SE 43rd St,Bellevue,WA,98006,600000,3,2.0,Eastgate,1000,12075,1959,,600,,Sold,,,https://www.redfin.com/WA/BELLEVUE/16627-SE-43RD-ST-98006/home/239644,NWMLS,1102942,N,Y,47.568851,-122.117669
PAST SALE,May-30-2017,Single Family Residential,4786 172nd Ct SE,Bellevue,WA,98006,1055000,3,2.5,Lakemont,2740,6753,1993,,385,33,Sold,,,https://www.redfin.com/WA/Bellevue/4786-172nd-Ct-SE-98006/home/236181,NWMLS,1112851,N,Y,47.5599675,-122.1111619
PAST SALE,,Single Family Residential,1620 172nd Ave NE,Bellevue,WA,98008,620000,4,2.0,,1170,7416,1960,,530,,,,,https://www.redfin.com/WA/Bellevue/1620-172nd-Ave-NE-98008/home/431925,,,N,Y,47.6245981,-122.1112149
PAST SALE,May-31-2017,Single Family Residential,16520 NE 27th St,Bellevue,WA,98008,836000,3,2.5,Ardmore,1460,7368,1964,,573,,Sold,,,https://www.redfin.com/WA/Bellevue/16520-NE-27th-St-98008/home/432851,NWMLS,1117842,N,Y,47.6338072,-122.1196478
PAST SALE,May-31-2017,Single Family Residential,2162 156th Ave SE,Bellevue,WA,98007,745000,4,3.0,Phantom Lake,2490,11000,1965,,299,,Sold,,,https://www.redfin.com/WA/Bellevue/2162-156th-Ave-SE-98007/home/429175,NWMLS,1102934,N,Y,47.5899392,-122.1319783
PAST SALE,May-31-2017,Single Family Residential,9900 SE 5th Pl,Bellevue,WA,98004,1825000,4,3.5,Meydenbauer,2850,10384,1982,,640,,Sold,,,https://www.redfin.com/WA/Bellevue/9900-SE-5th-Pl-98004/home/253208,NWMLS,1095092,N,Y,47.6047865,-122.2070752
PAST SALE,May-31-2017,Single Family Residential,4634 175th Ave SE,Bellevue,WA,98006,1650000,5,3.5,Sky Mountain,3849,11415,1983,,429,13,Sold,,,https://www.redfin.com/WA/Bellevue/4634-175th-Ave-SE-98006/home/238313,NWMLS,1105356,N,Y,47.5621254,-122.1061015
PAST SALE,May-31-2017,Single Family Residential,3810 131st Ave NE,Bellevue,WA,98005,2100000,5,3.5,Bridle Trails,6511,34989,1976,,323,42,Sold,,,https://www.redfin.com/WA/Bellevue/3810-131st-Ave-NE-98005/home/430115,NWMLS,1081151,N,Y,47.6451211,-122.1654572
PAST SALE,May-31-2017,Single Family Residential,4039 140th Ave SE,Bellevue,WA,98006,920000,3,2.0,Eastgate,1760,12170,1955,,523,,Sold,,,https://www.redfin.com/WA/Bellevue/4039-140th-Ave-SE-98006/home/233746,NWMLS,1117364,N,Y,47.5733758,-122.1532327
PAST SALE,,Single Family Residential,16121 SE 5th St,Bellevue,WA,98008,540000,3,1.5,,1240,7840,1958,,435,,,,,https://www.redfin.com/WA/Bellevue/16121-SE-5th-St-98008/home/427373,,,N,Y,47.6050105,-122.1239625
PAST SALE,May-31-2017,Single Family Residential,12115 SE 41st St,Bellevue,WA,98006,1270000,4,2.5,Greenwich Crest,3030,6892,2001,,419,25,Sold,,,https://www.redfin.com/WA/Bellevue/12115-SE-41st-St-98006/home/234291,NWMLS,1105757,N,Y,47.5732158,-122.1776199
PAST SALE,May-31-2017,Single Family Residential,1658 105th Ave SE,Bellevue,WA,98004,1875000,5,5.5,Enatai,4005,11036,2016,,468,,Sold,,,https://www.redfin.com/WA/Bellevue/1658-105th-Ave-SE-98004/home/510195,NWMLS,1035602,N,Y,47.5949186,-122.2003614
PAST SALE,May-31-2017,Single Family Residential,15019 SE 44th St,Bellevue,WA,98006,1260000,6,3.5,Bellevue,3610,5321,2009,,349,,Sold,,,https://www.redfin.com/WA/Bellevue/15019-SE-44-St-98006/home/22239530,NWMLS,1102133,N,Y,47.5675897,-122.1412806
