SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,17818 42nd Ave SE #22,Bothell,WA,98012,622450,4,3.0,Bothell,2494,3487,2016,,250,78,Sold,,,https://www.redfin.com/WA/Bothell/17818-42nd-Ave-SE-98012/unit-22/home/109500470,NWMLS,1049952,N,Y,47.8358689,-122.1758704
PAST SALE,May-30-2017,Single Family Residential,17431 Palomino Dr,Bothell,WA,98012,400000,4,2.0,Mays Pond,1538,7405,1977,,260,28,Sold,,,https://www.redfin.com/WA/Bothell/17431-Palomino-Dr-98012/home/2774510,NWMLS,1113612,N,Y,47.839182,-122.2061631
PAST SALE,May-30-2017,Single Family Residential,8245 NE 196th St #3,Kenmore,WA,98028,859950,4,3.5,Kenmore,3316,6193,2017,,259,132,Sold,,,https://www.redfin.com/WA/Kenmore/8245-NE-196th-St-98028/unit-3/home/113252275,NWMLS,1085433,N,Y,47.7721327,-122.2280064
PAST SALE,May-30-2017,Single Family Residential,8239 NE 196th St #6,Kenmore,WA,98028,859950,5,4.0,Kenmore,3471,4567,2017,,248,132,Sold,,,https://www.redfin.com/WA/Kenmore/8239-NE-196th-St-98028/unit-6/home/113165825,NWMLS,1082166,N,Y,47.7717563,-122.2279753
PAST SALE,May-30-2017,Single Family Residential,2707 164th Pl SE,Bothell,WA,98012,530000,4,3.0,Bothell,1796,7405,1979,,295,,Sold,,,https://www.redfin.com/WA/Bothell/2707-164th-Pl-SE-98012/home/2784386,NWMLS,1110503,N,Y,47.8492754,-122.1960273
PAST SALE,May-30-2017,Single Family Residential,18807 36th Dr SE,Bothell,WA,98012,785000,4,2.5,Bothell,3484,7405,2006,,225,,Sold,,,https://www.redfin.com/WA/Bothell/18807-36th-Dr-SE-98012/home/11880525,NWMLS,1108442,N,Y,47.8266134,-122.1838268
PAST SALE,May-30-2017,Single Family Residential,16814 1st Ave SE,Bothell,WA,98012,487000,3,2.25,Bothell,3172,13068,1971,,154,,Sold,,,https://www.redfin.com/WA/Bothell/16814-1st-Ave-SE-98012/home/2716038,NWMLS,1094995,N,Y,47.8451852,-122.2333372
PAST SALE,May-30-2017,Single Family Residential,17808 42nd Ave SE #19,Bothell,WA,98012,632450,4,2.5,Bothell,2501,3486,2016,,253,78,Sold,,,https://www.redfin.com/WA/Bothell/17808-42nd-Ave-SE-98012/unit-19/home/177184536,NWMLS,1035094,N,Y,47.8361498,-122.175796
PAST SALE,May-30-2017,Single Family Residential,4120 161st St SE,Bothell,WA,98012,639950,4,2.5,Mill Creek,2580,4999,2017,,248,143,Sold,,,https://www.redfin.com/WA/Bothell/4120-161st-St-SE-98012/home/112337872,NWMLS,1063989,N,Y,47.8514513,-122.1763179
PAST SALE,May-30-2017,Single Family Residential,3505 160th Pl SE,Bothell,WA,98012,555000,3,2.5,Mill Creek,1807,3485,2006,,307,51,Sold,,,https://www.redfin.com/WA/Bothell/3505-160th-Pl-SE-98012/home/22935622,NWMLS,1113130,N,Y,47.8525813,-122.1871183
PAST SALE,May-30-2017,Single Family Residential,23924 22nd Dr SE,Bothell,WA,98021,810000,4,2.5,Canyon Park,2777,10890,1990,,292,25,Sold,,,https://www.redfin.com/WA/Bothell/23924-22nd-Dr-SE-98021/home/2824306,NWMLS,1105680,N,Y,47.7804547,-122.2031099
PAST SALE,May-30-2017,Single Family Residential,21219 42nd Ave SE #5,Bothell,WA,98021,669950,4,2.5,Bothell,2501,3719,2016,,268,78,Sold,,,https://www.redfin.com/WA/Bothell/21219-42nd-Ave-SE-98021/unit-5/home/177707258,NWMLS,1052870,N,Y,47.8047946,-122.1764459
PAST SALE,,Single Family Residential,18715 36th Dr SE,Bothell,WA,98012,755000,4,2.5,,3463,6970,2006,,218,,,,,https://www.redfin.com/WA/Bothell/18715-36th-Dr-SE-98012/home/11880521,,,N,Y,47.8277141,-122.1833978
PAST SALE,May-31-2017,Single Family Residential,17513 Woodland Dr,Bothell,WA,98012,380000,3,2.0,Mays Pond,1400,7405,1977,,271,28,Sold,,,https://www.redfin.com/WA/Bothell/17513-Woodland-Dr-98012/home/2773935,NWMLS,1105516,N,Y,47.8386879,-122.2039012
PAST SALE,May-31-2017,Single Family Residential,17820 42 Ave SE #24,Bothell,WA,98012,659950,4,2.5,Mill Creek,2501,3480,2017,,264,78,Sold,,,https://www.redfin.com/WA/Bothell/17820-42nd-Ave-SE-98012/unit-24/home/144420410,NWMLS,1057564,N,Y,47.8357599,-122.175807
PAST SALE,May-31-2017,Single Family Residential,18115 31st Ave SE,Bothell,WA,98012,657000,5,2.5,Bothell,2206,3400,2011,,298,,Sold,,,https://www.redfin.com/WA/Bothell/18115-31st-Ave-SE-98012/home/40603776,NWMLS,1113696,N,Y,47.8331565,-122.1904312
PAST SALE,,Single Family Residential,8500 NE 202nd Way,Bothell,WA,98011,630000,4,3.0,,2180,4045,2004,,289,,,,,https://www.redfin.com/WA/Bothell/8500-NE-202nd-Way-98011/home/2085428,,,N,Y,47.7743005,-122.2262947
PAST SALE,May-31-2017,Single Family Residential,118 176th Pl SW #1,Bothell,WA,98012,536345,3,2.5,Martha Lake,1902,3399,2017,,282,57,Sold,,,https://www.redfin.com/WA/Bothell/118-176th-Pl-SW-98012/unit-1/home/177707269,NWMLS,1095235,N,Y,47.8378375,-122.2351153
PAST SALE,May-31-2017,Single Family Residential,17826 42nd Ave SE #29,Bothell,WA,98012,629950,4,2.5,Mill Creek,2311,3200,2017,,273,78,Sold,,,https://www.redfin.com/WA/Bothell/17826-42nd-Ave-SE-98012/unit-29/home/144420404,NWMLS,1064599,N,Y,47.8354584,-122.1756108
PAST SALE,May-31-2017,Single Family Residential,18617 101 Ave NE,Bothell,WA,98011,700000,3,3.0,Bothell,1940,7382,1995,,361,,Sold,,,https://www.redfin.com/WA/Bothell/18617-101st-Ave-NE-98011/home/285894,NWMLS,1112100,N,Y,47.7631034,-122.2061756
PAST SALE,May-31-2017,Single Family Residential,4125 174th St SE #75,Bothell,WA,98012,654950,4,2.5,Bothell,2501,3696,2016,,262,36,Sold,,,https://www.redfin.com/WA/Bothell/4125-174th-St-SE-98012/unit-75/home/109483225,NWMLS,1048458,N,Y,47.8401444,-122.1766427
PAST SALE,May-31-2017,Single Family Residential,1016 234th Pl SW,Bothell,WA,98021,505000,3,2.0,Bothell,1358,8712,1988,,372,8,Sold,,,https://www.redfin.com/WA/Bothell/1016-234th-Pl-SW-98021/home/2810021,NWMLS,1105222,N,Y,47.7856628,-122.2467131
PAST SALE,May-31-2017,Single Family Residential,17822 42nd Ave SE #25,Bothell,WA,98012,649950,4,3.0,Bothell,2494,3488,2017,,261,78,Sold,,,https://www.redfin.com/WA/Bothell/17822-42nd-Ave-SE-98012/unit-25/home/177707230,NWMLS,1057767,N,Y,47.835665,-122.1758356
PAST SALE,May-31-2017,Single Family Residential,18604 41st Dr SE #39,Bothell,WA,98012,749950,5,3.0,North Creek,2825,3600,2017,,265,40,Sold,,,https://www.redfin.com/WA/Bothell/18604-41st-Dr-SE-98012/unit-39/home/144420412,NWMLS,1055033,N,Y,47.82885840335628,-122.17733933475841
PAST SALE,May-31-2017,Single Family Residential,21801 3rd Pl W,Bothell,WA,98021,438000,3,2.0,Queensborough,1322,8276,1968,,331,,Sold,,,https://www.redfin.com/WA/Bothell/21801-3rd-Pl-W-98021/home/2734997,NWMLS,1110304,N,Y,47.8004959,-122.2374837
PAST SALE,May-31-2017,Single Family Residential,18608 41st Dr SE #40,Bothell,WA,98012,654950,4,3.0,North Creek,2494,3937,2017,,263,40,Sold,,,https://www.redfin.com/WA/Bothell/18608-41st-Dr-SE-98012/unit-40/home/144420413,NWMLS,1052108,N,Y,47.82875519202791,-122.17721550523486
