SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,18803 SE 60th St,Issaquah,WA,98027,840000,3,2.5,Cougar Mountain,2410,60112,1982,,349,,Sold,,,https://www.redfin.com/WA/Issaquah/18803-SE-60th-St-98027/home/418294,NWMLS,1106750,N,Y,47.5481021,-122.089287
PAST SALE,May-31-2017,Single Family Residential,13607 229th Dr SE,Issaquah,WA,98027,699999,3,2.5,Issaquah,2570,33926,1989,,272,100,Sold,,,https://www.redfin.com/WA/Issaquah/13607-229th-Dr-SE-98027/home/422250,NWMLS,1088525,N,Y,47.4801345,-122.0355268
PAST SALE,May-31-2017,Single Family Residential,4028 252nd Ave SE,Sammamish,WA,98029,790000,4,2.5,Klahanie,2070,5000,1996,,382,50,Sold,,,https://www.redfin.com/WA/Issaquah/4028-252nd-Ave-SE-98029/home/437819,NWMLS,1107180,N,Y,47.5715979,-122.0048858
PAST SALE,May-31-2017,Single Family Residential,2692 22nd Ave NE,Issaquah,WA,98029,1025000,3,3.5,Issaquah Highlands,3190,5000,2007,,321,129,Sold,,,https://www.redfin.com/WA/Issaquah/2692-22nd-Ave-NE-98029/home/12448579,NWMLS,1117336,N,Y,47.555546,-122.0004547
PAST SALE,May-31-2017,Single Family Residential,20637 SE 135th St,Issaquah,WA,98027,802500,4,2.5,Issaquah,2380,35001,1987,,337,25,Sold,,,https://www.redfin.com/WA/Issaquah/20637-SE-135th-St-98027/home/422413,NWMLS,1104135,N,Y,47.4808068,-122.0654821
PAST SALE,May-31-2017,Single Family Residential,4325 239th Pl SE,Issaquah,WA,98029,875000,4,2.5,Klahanie,3030,9756,1986,,289,50,Sold,,,https://www.redfin.com/WA/Issaquah/4325-239th-Pl-SE-98029/home/437911,NWMLS,1091125,N,Y,47.5664527,-122.0236043
PAST SALE,May-31-2017,Single Family Residential,615 Wilderness Peak Dr NW,Issaquah,WA,98027,1070000,4,3.0,Issaquah,3330,6346,2004,,321,82,Sold,,,https://www.redfin.com/WA/Issaquah/615-Wilderness-Peak-Dr-NW-98027/home/418973,NWMLS,1104341,N,Y,47.5368232,-122.0686834
PAST SALE,May-31-2017,Single Family Residential,4737 242nd Ave SE,Issaquah,WA,98029,991000,4,3.5,Issaquah/Sammamish,3500,8501,1988,,283,22,Sold,,,https://www.redfin.com/WA/Issaquah/4737-242nd-Ave-SE-98029/home/438700,NWMLS,1098199,N,Y,47.5596931,-122.0177661
PAST SALE,June-1-2017,Single Family Residential,1458 29th Pl NE,Issaquah,WA,98029,950000,3,2.5,Issaquah Highlands,2729,3600,2007,,348,76,Sold,,,https://www.redfin.com/WA/Issaquah/1458-29th-Pl-NE-98029/home/8188424,NWMLS,1102589,N,Y,47.5405201,-121.9937042
PAST SALE,June-1-2017,Single Family Residential,4357 239th Pl SE,Sammamish,WA,98029,830000,3,2.5,Klahanie,2220,12720,1985,,374,50,Sold,,,https://www.redfin.com/WA/Issaquah/4357-239th-Pl-SE-98029/home/437933,NWMLS,1104305,N,Y,47.5664353,-122.0217417
PAST SALE,June-1-2017,Single Family Residential,1847 30th Ave NE,Issaquah,WA,98029,890000,3,2.5,Issaquah Highlands,2204,3420,2004,,404,76,Sold,,,https://www.redfin.com/WA/Issaquah/1847-30th-Ave-NE-98029/home/466618,NWMLS,1112995,N,Y,47.5479825,-121.9937506
PAST SALE,June-2-2017,Single Family Residential,400 Everwood Ct NW,Issaquah,WA,98027,1030000,4,2.5,Squak Mountain,3140,18237,1994,,328,12,Sold,,,https://www.redfin.com/WA/Issaquah/400-Everwood-Ct-98027/home/421062,NWMLS,1110149,N,Y,47.534142,-122.0508814
PAST SALE,June-5-2017,Single Family Residential,571 Alpine Ridge Pl NW,Issaquah,WA,98027,770000,3,2.5,Talus,2140,2318,2006,,360,70,Sold,,,https://www.redfin.com/WA/Issaquah/571-Alpine-Ridge-Pl-NW-98027/home/2064538,NWMLS,1106100,N,Y,47.5371741,-122.073028
PAST SALE,June-5-2017,Single Family Residential,25724 SE 40th St,Issaquah,WA,98029,814000,4,2.5,Klahanie,2080,7424,1991,,391,50,Sold,,,https://www.redfin.com/WA/Issaquah/25724-SE-40th-St-98029/home/436654,NWMLS,1115721,N,Y,47.5708849,-121.9974402
PAST SALE,June-6-2017,Single Family Residential,761 Mt View Pl SW,Issaquah,WA,98027,655000,3,2.0,Squak Mountain,1550,8750,1965,,423,,Sold,,,https://www.redfin.com/WA/Issaquah/761-Mountain-View-Pl-SW-98027/home/421280,NWMLS,1116621,N,Y,47.5226721,-122.0408809
