SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-19-2017,Single Family Residential,11125 Champagne Point Rd NE,Kirkland,WA,98034,1585000,4,3.5,Holmes Point,4560,16339,2001,,348,,Sold,,,https://www.redfin.com/WA/Kirkland/11125-Champagne-Point-Rd-NE-98034/home/280423,NWMLS,1087908,N,Y,47.702464,-122.2428956
PAST SALE,May-19-2017,Single Family Residential,13436 90th Pl NE,Kirkland,WA,98034,739190,3,2.5,Finn Hill,1580,9014,1968,,468,,Sold,,,https://www.redfin.com/WA/Kirkland/13436-90th-Pl-NE-98034/home/278145,NWMLS,1111268,N,Y,47.7216464,-122.2196752
PAST SALE,May-19-2017,Single Family Residential,710 3rd St,Kirkland,WA,98033,1400000,3,3.0,East Of Market,2880,5500,1998,,486,,Sold,,,https://www.redfin.com/WA/Kirkland/710-3rd-St-98033/home/463874,NWMLS,1016918,N,Y,47.6807407,-122.2036387
PAST SALE,May-19-2017,Single Family Residential,11337 NE 145th St,Kirkland,WA,98034,749500,5,4.0,Kirkland,3320,10454,1949,,226,,Sold,,,https://www.redfin.com/WA/Kirkland/11337-NE-145th-St-98034/home/456993,NWMLS,1096279,N,Y,47.7327088,-122.1894821
PAST SALE,May-19-2017,Single Family Residential,10442 NE 116th St,Kirkland,WA,98034,663000,3,3.0,Kirkland,2290,8700,1963,,290,,Sold,,,https://www.redfin.com/WA/Kirkland/10442-NE-116th-St-98034/home/459277,NWMLS,1084281,N,Y,47.7042561,-122.2007803
PAST SALE,May-19-2017,Single Family Residential,9220 NE 141st St,Kirkland,WA,98034,733500,4,3.0,Finn Hill,1790,7700,1977,,410,,Sold,,,https://www.redfin.com/WA/Kirkland/9220-NE-141st-St-98034/home/278565,NWMLS,1101362,N,Y,47.72753,-122.2171826
PAST SALE,May-19-2017,Single Family Residential,12624 NE 105th Pl Unit L-2,Kirkland,WA,98033,1324950,4,3.0,Rose Hill,3247,6996,2017,,408,,Sold,,,https://www.redfin.com/WA/Kirkland/12624-NE-105th-Pl-98033/unit-L-2/home/113002663,NWMLS,1072929,N,Y,47.694505,-122.172677
PAST SALE,May-19-2017,Single Family Residential,7812 NE 140th St,Kirkland,WA,98034,620000,4,2.5,Finn Hill,2070,10800,1982,,300,,Sold,,,https://www.redfin.com/WA/Kirkland/7812-NE-140th-St-98034/home/275099,NWMLS,1101022,N,Y,47.726405,-122.2368571
PAST SALE,May-19-2017,Single Family Residential,10614 NE 146th St,Bothell,WA,98011,646500,3,2.0,Norway Hill,1890,9153,1977,,342,,Sold,,,https://www.redfin.com/WA/BOTHELL/10614-NE-146TH-ST-98011/home/456586,NWMLS,1109744,N,Y,47.733817,-122.199536
PAST SALE,May-20-2017,Single Family Residential,14134 101st Pl NE,Kirkland,WA,98034,680000,5,3.0,Juanita,2170,6402,1978,,313,,Sold,,,https://www.redfin.com/WA/Kirkland/14134-101st-Pl-NE-98034/home/457897,NWMLS,1097626,N,Y,47.7282883,-122.2056043
PAST SALE,May-22-2017,Single Family Residential,12617 NE 87th Pl,Kirkland,WA,98033,500000,3,1.0,North Rose Hill,1560,13009,1984,,321,,Sold,,,https://www.redfin.com/WA/Kirkland/12617-NE-87th-Pl-98033/home/175875440,NWMLS,1132036,N,Y,47.6806447,-122.1719637
PAST SALE,May-22-2017,Single Family Residential,8107 126th Ave NE,Kirkland,WA,98033,727000,3,2.0,Rose Hill,1510,10128,1923,,481,,Sold,,,https://www.redfin.com/WA/Kirkland/8107-126th-Ave-NE-98033/home/515725,NWMLS,1102685,N,Y,47.6766249,-122.1731778
