SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,4027 192nd Pl SW,Lynnwood,WA,98036,518000,4,3.0,Lynnwood,2160,10454,1966,,240,,Sold,,,https://www.redfin.com/WA/Lynnwood/4027-192nd-Pl-SW-98036/home/2660925,NWMLS,1107739,N,Y,47.8240953,-122.2880364
PAST SALE,,Single Family Residential,17706 12th Ave W,Lynnwood,WA,98037,525500,6,3.0,,2408,3485,2002,,218,,,,,https://www.redfin.com/WA/Lynnwood/17706-12th-Ave-W-98037/home/2897056,,,N,Y,47.8379183,-122.2495092
PAST SALE,May-30-2017,Single Family Residential,15619 10th Ave W,Lynnwood,WA,98087,498999,4,3.5,Martha Lake,2100,9583,1964,,238,,Sold,,,https://www.redfin.com/WA/Lynnwood/15619-10th-Ave-W-98087/home/2653581,NWMLS,1104953,N,Y,47.8563417,-122.2469591
PAST SALE,May-30-2017,Single Family Residential,1530 173rd St SW,Lynnwood,WA,98037,570000,3,3.0,Martha Lake,2302,13939,1979,,248,,Sold,,,https://www.redfin.com/WA/Lynnwood/1530-173rd-St-SW-98037/home/2782206,NWMLS,1104846,N,Y,47.8412553,-122.2544858
PAST SALE,May-30-2017,Single Family Residential,14828 Old Manor Way,Lynnwood,WA,98087,482000,3,2.0,Alderwood,1776,22651,1954,,271,,Sold,,,https://www.redfin.com/WA/Lynnwood/14828-Old-Manor-Way-98087/home/2646740,NWMLS,1113124,N,Y,47.8633547,-122.2700854
PAST SALE,May-31-2017,Single Family Residential,5817 176th St SW,Lynnwood,WA,98037,511500,3,2.5,Meadowdale,2032,12197,1998,,252,,Sold,,,https://www.redfin.com/WA/Lynnwood/5817-176th-St-SW-98037/home/2718978,NWMLS,1105449,N,Y,47.839597,-122.3122771
PAST SALE,May-31-2017,Single Family Residential,17823 12th Pl W,Lynnwood,WA,98037,547500,3,2.5,Alderwood,2176,4792,2017,,252,,Sold,,,https://www.redfin.com/WA/Lynnwood/17823-12th-Pl-W-98037/home/113812125,NWMLS,1113918,N,Y,47.8357601,-122.2496902
PAST SALE,May-31-2017,Single Family Residential,4431 150th St SW,Lynnwood,WA,98087,450000,3,2.5,Lynnwood,1614,9583,1979,,279,,Sold,,,https://www.redfin.com/WA/Lynnwood/4431-150th-St-SW-98087/home/2784620,NWMLS,1116325,N,Y,47.8623787,-122.2942635
PAST SALE,May-31-2017,Single Family Residential,15801 60th Ave W,Edmonds,WA,98026,676000,4,3.0,Meadowdale,2696,6128,2014,,251,,Sold,,,https://www.redfin.com/WA/Edmonds/15801-60th-Ave-W-98026/home/58775651,NWMLS,1111676,N,Y,47.8554359,-122.3141467
PAST SALE,May-31-2017,Single Family Residential,2015 142nd Pl SW,Lynnwood,WA,98087,570000,4,2.5,Lynnwood,2525,4356,2004,,226,33,Sold,,,https://www.redfin.com/WA/Lynnwood/2015-142nd-Pl-SW-98087/home/2903758,NWMLS,1114561,N,Y,47.8695159,-122.2612859
PAST SALE,May-31-2017,Single Family Residential,18220 72nd Ave W,Edmonds,WA,98026,451000,4,1.0,Perrinville,1632,8712,1960,,276,,Sold,,,https://www.redfin.com/WA/Edmonds/18220-72nd-Ave-W-98026/home/2703304,NWMLS,1114593,N,Y,47.8334328,-122.3309024
PAST SALE,May-31-2017,Single Family Residential,3710 167 Pl SW,Lynnwood,WA,98037,660000,4,2.5,Lynnwood,3094,8712,1992,,213,,Sold,,,https://www.redfin.com/WA/Lynnwood/3710-167th-Pl-SW-98037/home/2830361,NWMLS,1107567,N,Y,47.8465154,-122.2835811
PAST SALE,May-31-2017,Single Family Residential,331 202nd Place SW #10,Lynnwood,WA,98036,606000,5,3.0,North Creek,2565,3330,2014,,236,40,Sold,,,https://www.redfin.com/WA/Lynnwood/331-202nd-Pl-SW-98036/unit-10/home/101603676,NWMLS,1119186,N,Y,47.8148054,-122.2381417
PAST SALE,May-31-2017,Single Family Residential,20622 54th Ave W,Lynnwood,WA,98036,475000,4,2.0,Halls Lake,2338,7405,1964,,203,,Sold,,,https://www.redfin.com/WA/Lynnwood/20622-54th-Ave-W-98036/home/2697738,NWMLS,1084593,N,Y,47.8113745,-122.3062103
PAST SALE,May-31-2017,Single Family Residential,18511 44th Ave W,Lynnwood,WA,98037,429950,4,2.0,Alderwood,2049,7841,1966,,210,,Sold,,,https://www.redfin.com/WA/Lynnwood/18511-44th-Ave-W-98037/home/2746060,NWMLS,1103765,N,Y,47.83067,-122.2921409
PAST SALE,May-31-2017,Single Family Residential,17425 54th Pl W,Lynnwood,WA,98037,455000,4,3.0,Meadowdale,1876,5227,1984,,243,,Sold,,,https://www.redfin.com/WA/Lynnwood/17425-54th-Pl-W-98037/home/2804698,NWMLS,1110318,N,Y,47.8403062,-122.3064704
PAST SALE,June-1-2017,Single Family Residential,120 155th St SE,Lynnwood,WA,98087,425000,3,2.0,Martha Lake,1435,11326,1968,,296,,Sold,,,https://www.redfin.com/WA/Lynnwood/120-155th-St-SE-98087/home/2669873,NWMLS,1107568,N,Y,47.8573403,-122.2311724
PAST SALE,June-2-2017,Single Family Residential,17830 14th Ave W,Lynnwood,WA,98037,566100,4,2.5,Martha Lake,2345,3485,2006,,241,,Sold,,,https://www.redfin.com/WA/Lynnwood/17830-14th-Ave-W-98037/home/11882609,NWMLS,1107633,N,Y,47.8362871,-122.2526517
PAST SALE,June-2-2017,Single Family Residential,20720 10th Pl W,Lynnwood,WA,98036,559000,3,2.5,Logan Park,2700,4356,2012,,207,60,Sold,,,https://www.redfin.com/WA/Lynnwood/20720-10th-Pl-W-98036/home/45390216,NWMLS,1107040,N,Y,47.8099766,-122.2476421
PAST SALE,June-2-2017,Single Family Residential,12904 31st Ave W #12,Lynnwood,WA,98087,472080,4,3.5,Paine Field,2503,5722,2017,,189,73,Sold,,,https://www.redfin.com/WA/Lynnwood/12904-31st-Ave-W-98087/unit-12/home/113826716,NWMLS,1063958,N,Y,47.881173,-122.276761
PAST SALE,June-2-2017,Single Family Residential,20705 1st Ave W,Lynnwood,WA,98036,667200,4,3.5,Hilltop,2715,3920,2013,,246,42,Sold,,,https://www.redfin.com/WA/Lynnwood/20705-1st-Ave-W-98036/home/45362432,NWMLS,1104285,N,Y,47.8100911,-122.2337291
PAST SALE,June-6-2017,Single Family Residential,17126 76th Ave W,Edmonds,WA,98026,530000,3,2.0,Edmonds,1822,17860,1942,,291,,Sold,,,https://www.redfin.com/WA/Edmonds/17126-76th-Ave-W-98026/home/2481652,NWMLS,1122166,N,Y,47.8433009,-122.3362984
PAST SALE,June-6-2017,Single Family Residential,7226 198th St SW,Lynnwood,WA,98036,435000,3,2.0,Edmonds Comm College,1512,10454,1956,,288,,Sold,,,https://www.redfin.com/WA/Lynnwood/7226-198th-St-SW-98036/home/2700298,NWMLS,1123205,N,Y,47.8198641,-122.3315322
PAST SALE,June-7-2017,Single Family Residential,2817 151st Pl SW,Lynnwood,WA,98087,500000,4,3.0,Lynnwood,2108,6534,2000,,237,36,Sold,,,https://www.redfin.com/WA/Lynnwood/2817-151st-Pl-SW-98087/home/2870179,NWMLS,1120981,N,Y,47.8612437,-122.2718772
PAST SALE,,Single Family Residential,5815 181st Pl SW,Lynnwood,WA,98037,457500,3,2.5,,1868,8276,1976,,245,,,,,https://www.redfin.com/WA/Lynnwood/5815-181st-Pl-SW-98037/home/2770661,,,N,Y,47.8349262,-122.3122278
PAST SALE,June-8-2017,Single Family Residential,10321 15th Pl W #33,Lynnwood,WA,98037,590670,4,2.5,Martha Lake,2346,3800,2017,,252,39,Sold,,,https://www.redfin.com/WA/Lynnwood/10321-15th-Pl-W-98037/unit-33/home/177183775,NWMLS,1086081,N,Y,47.8389864,-122.2540841
PAST SALE,June-8-2017,Single Family Residential,20231 5th Pl W,Lynnwood,WA,98036,475000,4,2.5,North Creek,1859,3397,2015,,256,52,Sold,,,https://www.redfin.com/WA/Lynnwood/20231-5th-Pl-W-98036/home/101603553,NWMLS,1117459,N,Y,47.8143157,-122.2399758
PAST SALE,June-8-2017,Single Family Residential,18318 15th Pl W #44,Lynnwood,WA,98037,532690,3,2.5,Martha Lake,1903,3772,2017,,280,39,Sold,,,https://www.redfin.com/WA/Lynnwood/18318-15th-Pl-W-98037/unit-44/home/175876450,NWMLS,1074083,N,Y,47.8320851,-122.2547379
PAST SALE,June-9-2017,Single Family Residential,17421 60th Ave W,Lynnwood,WA,98037,666220,5,3.0,Meadowdale,2660,9596,2017,,250,,Sold,,,https://www.redfin.com/WA/Lynnwood/17421-60th-Ave-W-98037/home/119478155,NWMLS,1141950,N,Y,47.8405407,-122.313924
PAST SALE,June-9-2017,Single Family Residential,7729 191st St SW,Edmonds,WA,98026,530000,4,2.0,Perrinville,1986,8712,1958,,267,,Sold,,,https://www.redfin.com/WA/Edmonds/7729-191st-St-SW-98026/home/2676892,NWMLS,1113601,N,Y,47.8257374,-122.3384081
PAST SALE,June-9-2017,Single Family Residential,20709 2nd Ave W,Lynnwood,WA,98036,700000,4,3.5,Lynnwood,3400,3485,2015,,206,46,Sold,,,https://www.redfin.com/WA/Lynnwood/20709-2nd-Ave-W-98036/home/56362769,NWMLS,1114843,N,Y,47.809973,-122.235885
PAST SALE,June-9-2017,Single Family Residential,18326 15th Pl W #46,Lynnwood,WA,98037,617275,4,2.5,Martha Lake,2606,3800,2017,,237,39,Sold,,,https://www.redfin.com/WA/Lynnwood/18326-15th-Pl-W-98037/unit-46/home/177707271,NWMLS,1081886,N,Y,47.8318579,-122.2548509
PAST SALE,June-9-2017,Single Family Residential,5430 189th Pl SW,Lynnwood,WA,98036,435000,3,3.5,Lynnwood,1604,16117,1977,,271,,Sold,,,https://www.redfin.com/WA/Lynnwood/5430-189th-Pl-SW-98036/home/2775779,NWMLS,1113207,N,Y,47.8267162,-122.3073071
PAST SALE,June-9-2017,Single Family Residential,20708 S Danvers Rd,Lynnwood,WA,98036,448800,4,2.0,Lynnwood,1261,8276,1981,,356,,Sold,,,https://www.redfin.com/WA/Lynnwood/20708-S-Danvers-Rd-98036/home/2797601,NWMLS,1113564,N,Y,47.8100437,-122.2378154
PAST SALE,,Single Family Residential,17526 66th Ave W,Lynnwood,WA,98037,335000,3,3.0,,1912,14810,1984,,175,,,,,https://www.redfin.com/WA/Lynnwood/17526-66th-Ave-W-98037/home/2787949,,,N,Y,47.8395707,-122.3242457
