SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,13637 178th Ave NE,Redmond,WA,98052,733000,3,2.5,English Hill,1650,8712,1983,,444,,Sold,,,https://www.redfin.com/WA/Redmond/13637-178th-Ave-NE-98052/home/449759,NWMLS,1116862,N,Y,47.7228205,-122.1031047
PAST SALE,May-30-2017,Single Family Residential,17749 NE 122nd St,Redmond,WA,98052,1093000,4,2.5,Education Hill,3150,6422,2005,,347,36,Sold,,,https://www.redfin.com/WA/Redmond/17749-NE-122nd-St-98052/home/2078690,NWMLS,1104474,N,Y,47.708952,-122.1019819
PAST SALE,May-30-2017,Single Family Residential,15604 NE 107th Ct,Redmond,WA,98052,1155000,4,3.0,Education Hill,3659,7002,2013,,316,,Sold,,,https://www.redfin.com/WA/Redmond/15604-NE-107th-Ct-98052/home/324432,NWMLS,1113090,N,Y,47.6959313,-122.1314424
PAST SALE,May-30-2017,Single Family Residential,8506 229th Dr NE,Redmond,WA,98053,684000,3,2.5,Redmond Ridge,1690,4000,2004,,405,59,Sold,,,https://www.redfin.com/WA/Redmond/8506-229th-Dr-NE-98053/home/442912,NWMLS,1101030,N,Y,47.6784015,-122.033888
PAST SALE,May-30-2017,Single Family Residential,16422 132nd,Redmond,WA,98052,1250000,5,2.5,English Hill,3730,35000,1985,,335,,Sold,,,https://www.redfin.com/WA/Redmond/16422-NE-132nd-St-98052/home/450898,NWMLS,1113947,N,Y,47.7185166,-122.1200365
PAST SALE,May-30-2017,Single Family Residential,16018 NE 44th Ct,Redmond,WA,98052,1350000,5,3.0,Microsoft,3023,9228,1998,,447,30,Sold,,,https://www.redfin.com/WA/Redmond/16018-NE-44th-Ct-98052/home/504831,NWMLS,1091944,N,Y,47.6494694,-122.1264655
PAST SALE,May-30-2017,Single Family Residential,5005 162nd Ave NE,Redmond,WA,98052,1375000,4,2.5,Marymoor,3140,9315,1990,,438,25,Sold,,,https://www.redfin.com/WA/Redmond/5005-162nd-Ave-NE-98052/home/504247,NWMLS,1116613,N,Y,47.6551615,-122.1253645
PAST SALE,May-30-2017,Single Family Residential,21808 NE 81st St,Redmond,WA,98053,716000,5,3.0,Union Hill,2500,48787,1978,,286,,Sold,,,https://www.redfin.com/WA/Redmond/21808-NE-81st-St-98053/home/442958,NWMLS,1097097,N,Y,47.6761261,-122.048605
PAST SALE,May-30-2017,Single Family Residential,17370 NE 123rd Way,Redmond,WA,98052,1219058,4,3.0,English Hill,3013,6071,2017,,405,50,Sold,,,https://www.redfin.com/WA/Redmond/17370-NE-123rd-Way-98052/home/59703943,NWMLS,1073310,N,Y,47.7107076,-122.1084237
PAST SALE,May-30-2017,Single Family Residential,5430 160th Pl NE,Redmond,WA,98052,1550000,5,5.0,Microsoft,4724,8900,2017,,328,64,Sold,,,https://www.redfin.com/WA/Redmond/5430-160th-Pl-NE-98052/home/502850,NWMLS,1043717,N,Y,47.6564398,-122.1259903
PAST SALE,May-30-2017,Single Family Residential,17504 NE 141st St,Redmond,WA,98052,883000,4,2.5,English Hill,2390,8396,1985,,369,13,Sold,,,https://www.redfin.com/WA/Redmond/17504-NE-141st-St-98052/home/451218,NWMLS,1101969,N,Y,47.72665,-122.1049705
PAST SALE,May-30-2017,Single Family Residential,17823 NE 102nd Ct,Redmond,WA,98052,850000,4,2.5,Education Hill,1770,8801,1985,,480,,Sold,,,https://www.redfin.com/WA/Redmond/17823-NE-102nd-Ct-98052/home/323912,NWMLS,1109956,N,Y,47.6914456,-122.1019658
