SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2017,Single Family Residential,24816 NE 25th St,Sammamish,WA,98074,785000,4,3.0,Sammamish,2550,6600,2002,,308,,Sold,,,https://www.redfin.com/WA/Sammamish/24816-NE-25th-St-98074/home/261794,NWMLS,1096205,N,Y,47.63177,-122.0073919
PAST SALE,May-30-2017,Single Family Residential,22506 SE 14th Pl,Sammamish,WA,98075,941000,4,3.0,Sammamish,2850,7985,1999,,330,50,Sold,,,https://www.redfin.com/WA/Sammamish/22506-SE-14th-Pl-98075/home/433426,NWMLS,1098987,N,Y,47.5967865,-122.0399831
PAST SALE,May-30-2017,Single Family Residential,19322 SE 21st St,Sammamish,WA,98075,740500,3,2.5,Sammamish,2580,19500,1981,,287,,Sold,,,https://www.redfin.com/WA/Sammamish/19322-SE-21st-St-98075/home/266736,NWMLS,1102223,N,Y,47.5906668,-122.0817219
PAST SALE,May-30-2017,Single Family Residential,24327 NE 14th Pl,Sammamish,WA,98074,931006,4,3.0,Sammamish,2468,3630,2017,,377,80,Sold,,,https://www.redfin.com/WA/Sammamish/24327-NE-14th-Pl-98074/home/109660857,NWMLS,1040621,N,Y,47.6224224,-122.0150524
PAST SALE,May-30-2017,Single Family Residential,22630 NE 14th Pl,Sammamish,WA,98074,600000,3,2.5,Sammamish,1440,7985,1988,,417,,Sold,,,https://www.redfin.com/WA/Sammamish/22630-NE-14th-Pl-98074/home/266619,NWMLS,1106661,N,Y,47.6225155,-122.0369302
PAST SALE,May-31-2017,Single Family Residential,27137 SE 19th Pl,Sammamish,WA,98075,1150000,5,4.5,Trossachs,3689,6025,2014,,312,55,Sold,,,https://www.redfin.com/WA/Sammamish/27137-SE-19th-Pl-98075/home/50268210,NWMLS,1097719,N,Y,47.591496,-121.9746016
PAST SALE,May-31-2017,Single Family Residential,4325 239th Pl SE,Issaquah,WA,98029,875000,4,2.5,Klahanie,3030,9756,1986,,289,50,Sold,,,https://www.redfin.com/WA/Issaquah/4325-239th-Pl-SE-98029/home/437911,NWMLS,1091125,N,Y,47.5664527,-122.0236043
PAST SALE,May-31-2017,Single Family Residential,2222 271st Ct SE,Sammamish,WA,98075,1075000,4,2.5,Trossachs,3080,12556,1997,,349,55,Sold,,,https://www.redfin.com/WA/Sammamish/2222-271st-Ct-SE-98075/home/439128,NWMLS,1104524,N,Y,47.5880219,-121.9786371
PAST SALE,May-31-2017,Single Family Residential,21008 NE 36th St,Sammamish,WA,98074,840000,4,2.5,Timberline,2330,11834,1981,,361,,Sold,,,https://www.redfin.com/WA/Sammamish/21008-NE-36th-St-98074/home/264033,NWMLS,1093698,N,Y,47.6426709,-122.0596171
PAST SALE,May-31-2017,Single Family Residential,2444 196th Ave SE,Sammamish,WA,98075,852000,4,2.5,East Lake Sammamish,2522,15379,1992,,338,,Sold,,,https://www.redfin.com/WA/Sammamish/2444-196th-Ave-SE-98075/home/267470,NWMLS,1106633,N,Y,47.5883808,-122.0793975
PAST SALE,May-31-2017,Single Family Residential,4028 252nd Ave SE,Sammamish,WA,98029,790000,4,2.5,Klahanie,2070,5000,1996,,382,50,Sold,,,https://www.redfin.com/WA/Issaquah/4028-252nd-Ave-SE-98029/home/437819,NWMLS,1107180,N,Y,47.5715979,-122.0048858
