ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
4578 Somerset Blvd SE,https://www.redfin.com/WA/Bellevue/4578-Somerset-Blvd-SE-98006/home/236386,May-30-2017,May-2017,98006,1962,511,571
16627 SE 43rd St,https://www.redfin.com/WA/BELLEVUE/16627-SE-43RD-ST-98006/home/239644,May-30-2017,May-2017,98006,1959,600,663
4786 172nd Ct SE,https://www.redfin.com/WA/Bellevue/4786-172nd-Ct-SE-98006/home/236181,May-30-2017,May-2017,98006,1993,385,414
16520 NE 27th St,https://www.redfin.com/WA/Bellevue/16520-NE-27th-St-98008/home/432851,May-31-2017,May-2017,98008,1964,573,631
2162 156th Ave SE,https://www.redfin.com/WA/Bellevue/2162-156th-Ave-SE-98007/home/429175,May-31-2017,May-2017,98007,1965,299,356
9900 SE 5th Pl,https://www.redfin.com/WA/Bellevue/9900-SE-5th-Pl-98004/home/253208,May-31-2017,May-2017,98004,1982,640,680
4634 175th Ave SE,https://www.redfin.com/WA/Bellevue/4634-175th-Ave-SE-98006/home/238313,May-31-2017,May-2017,98006,1983,429,468
3810 131st Ave NE,https://www.redfin.com/WA/Bellevue/3810-131st-Ave-NE-98005/home/430115,May-31-2017,May-2017,98005,1976,323,369
4039 140th Ave SE,https://www.redfin.com/WA/Bellevue/4039-140th-Ave-SE-98006/home/233746,May-31-2017,May-2017,98006,1955,523,590
12115 SE 41st St,https://www.redfin.com/WA/Bellevue/12115-SE-41st-St-98006/home/234291,May-31-2017,May-2017,98006,2001,419,440
1658 105th Ave SE,https://www.redfin.com/WA/Bellevue/1658-105th-Ave-SE-98004/home/510195,May-31-2017,May-2017,98004,2016,468,474
15019 SE 44th St,https://www.redfin.com/WA/Bellevue/15019-SE-44-St-98006/home/22239530,May-31-2017,May-2017,98006,2009,349,362
11645 SE 49th St,https://www.redfin.com/WA/Bellevue/11645-SE-49th-St-98006/home/416897,May-31-2017,May-2017,98006,1958,369,433
12520 SE 47th Pl,https://www.redfin.com/WA/Bellevue/12520-SE-47th-Pl-98006/home/415635,May-31-2017,May-2017,98006,1968,472,526
2836 102nd Pl NE,https://www.redfin.com/WA/Bellevue/2836-102nd-Pl-NE-98004/home/22226237,May-31-2017,May-2017,98004,2010,531,543
1105 106th Ave SE,https://www.redfin.com/WA/Bellevue/1105-106th-Ave-SE-98004/home/2059861,May-31-2017,May-2017,98004,2006,484,500
16230 NE 4th St,https://www.redfin.com/WA/Bellevue/16290-NE-4th-St-98008/home/39537122,May-31-2017,May-2017,98008,1960,401,463
6729 153rd Pl SE,https://www.redfin.com/WA/Bellevue/6729-153rd-Pl-SE-98006/home/238401,May-31-2017,May-2017,98006,1992,362,392
16747 NE 23rd Pl,https://www.redfin.com/WA/Bellevue/16747-NE-23rd-Pl-98008/home/431731,May-31-2017,May-2017,98008,1965,400,457
3114 165th Ave SE,https://www.redfin.com/WA/Bellevue/3114-165th-Ave-SE-98008/home/427983,May-31-2017,May-2017,98008,1972,343,393
17075 SE 65th Pl,https://www.redfin.com/WA/Bellevue/17075-SE-65th-Pl-98006/home/419366,May-31-2017,May-2017,98006,2001,365,386
4758 130th Ave SE,https://www.redfin.com/WA/Bellevue/4758-130th-Ave-SE-98006/home/238207,May-31-2017,May-2017,98006,1961,462,523
456 W Lake Sammamish Pkwy NE,https://www.redfin.com/WA/Bellevue/456-W-Lake-Sammamish-Pkwy-NE-98008/home/326778,June-1-2017,June-2017,98008,1975,445,492
1023 160th Ave SE,https://www.redfin.com/WA/Bellevue/1023-160th-Ave-SE-98008/home/426795,June-1-2017,June-2017,98008,1961,353,414
10616 Woodhaven Ln,https://www.redfin.com/WA/Bellevue/10616-Woodhaven-Ln-98004/home/510556,June-1-2017,June-2017,98004,1954,500,568
1012 148th Ave NE,https://www.redfin.com/WA/Bellevue/1012-148th-Ave-NE-98007/home/499983,June-1-2017,June-2017,98007,2001,463,484
2301 128th Ave SE,https://www.redfin.com/WA/Bellevue/2301-128th-Ave-SE-98005/home/509043,June-1-2017,June-2017,98005,1963,413,472
4625 136th Ave SE,https://www.redfin.com/WA/Bellevue/4625-136th-Ave-SE-98006/home/240614,June-1-2017,June-2017,98006,1971,529,580
2218 153 Ave SE,https://www.redfin.com/WA/Bellevue/2218-153rd-Ave-SE-98007/home/427549,June-1-2017,June-2017,98007,1955,512,579
11277 SE 56th Ct (L-2),https://www.redfin.com/WA/Bellevue/11277-SE-56th-Pl-98006/home/415356,June-2-2017,June-2017,98006,2017,445,450
3309 173rd Pl NE,https://www.redfin.com/WA/Redmond/3309-173rd-Pl-NE-98052/home/502356,June-2-2017,June-2017,98052,1975,466,513
10712 NE 19th Pl,https://www.redfin.com/WA/Bellevue/10712-NE-19th-Pl-98004/home/506322,June-2-2017,June-2017,98004,1991,643,674
232 110th Pl SE,https://www.redfin.com/WA/Bellevue/232-110th-Pl-SE-98004/home/510538,June-2-2017,June-2017,98004,1959,564,627
5998 166th Ave SE,https://www.redfin.com/WA/Bellevue/5998-166th-Ave-SE-98006/home/418811,June-2-2017,June-2017,98006,1995,355,382
16455 SE 46th Ct,https://www.redfin.com/WA/Bellevue/16455-SE-46th-Ct-98006/home/55263697,June-5-2017,June-2017,98006,2014,370,378
1252 108th Ave NE,https://www.redfin.com/WA/Bellevue/1252-108th-Ave-NE-98004/home/506902,June-5-2017,June-2017,98004,1994,673,701
806 166th Ave NE,https://www.redfin.com/WA/Bellevue/806-166th-Ave-NE-98008/home/499549,June-6-2017,June-2017,98008,1959,647,710
18021 NE 13th St,https://www.redfin.com/WA/Bellevue/18021-NE-13th-St-98008/home/502902,June-6-2017,June-2017,98008,1965,449,506
2300 126th Ave NE,https://www.redfin.com/WA/Bellevue/2300-126th-Ave-NE-98005/home/22525047,June-6-2017,June-2017,98005,2016,261,267
6516 125 Ave SE,https://www.redfin.com/WA/Bellevue/6516-125th-Ave-SE-98006/home/415829,June-6-2017,June-2017,98006,1974,283,331
15103 SE 43rd St,https://www.redfin.com/WA/Bellevue/15103-SE-43rd-St-98006/home/235815,June-6-2017,June-2017,98006,1954,544,612
9711 NE 14th St,https://www.redfin.com/WA/Clyde-Hill/9711-NE-14th-St-98004/home/251913,June-7-2017,June-2017,98004,1999,726,749
17111 NE 5th St,https://www.redfin.com/WA/Bellevue/17111-NE-5th-St-98008/home/500955,June-8-2017,June-2017,98008,1961,449,510
16203 SE Newport Way,https://www.redfin.com/WA/Bellevue/16203-SE-Newport-Way-98006/home/238637,June-8-2017,June-2017,98006,1964,284,342
17413 SE 45th St,https://www.redfin.com/WA/Bellevue/17413-SE-45th-St-98006/home/235691,June-9-2017,June-2017,98006,1985,462,499
10822 NE 18th St,https://www.redfin.com/WA/Bellevue/10822-NE-18th-St-98004/home/505953,June-9-2017,June-2017,98004,1955,827,894
10026 NE 22nd St,https://www.redfin.com/WA/Bellevue/10026-NE-22nd-St-98004/home/505995,June-9-2017,June-2017,98004,2005,380,397
1330 104th Ave SE,https://www.redfin.com/WA/Bellevue/1330-104th-Ave-SE-98004/home/510788,June-9-2017,June-2017,98004,1948,472,546
16628 SE 26th St,https://www.redfin.com/WA/Bellevue/16628-SE-26th-St-98008/home/429069,June-9-2017,June-2017,98008,1962,571,631
13923 SE 22nd St,https://www.redfin.com/WA/Bellevue/13923-SE-22nd-St-98005/home/507887,June-9-2017,June-2017,98005,1966,297,353
16783 SE 59th St,https://www.redfin.com/WA/Bellevue/16783-SE-59th-St-98006/home/8186137,June-9-2017,June-2017,98006,2008,299,313
15030 SE 44th Pl,https://www.redfin.com/WA/Bellevue/15030-SE-44th-Pl-98006/home/238101,June-9-2017,June-2017,98006,1955,537,604
4546 somerset Blvd SE,https://www.redfin.com/WA/Bellevue/4546-Somerset-Blvd-SE-98006/home/235863,June-9-2017,June-2017,98006,1976,558,604
12814 SE 44th Pl,https://www.redfin.com/WA/Bellevue/12814-SE-44th-Pl-98006/home/235056,June-9-2017,June-2017,98006,1972,439,489
404 110th Ave SE,https://www.redfin.com/WA/Bellevue/404-110th-Ave-SE-98004/home/509998,June-9-2017,June-2017,98004,2016,534,540
15530 SE 27th St,https://www.redfin.com/WA/Bellevue/15530-SE-27th-St-98007/home/426916,June-9-2017,June-2017,98007,1956,496,562
2501 134th Ave SE,https://www.redfin.com/WA/Bellevue/2501-134th-Ave-SE-98005/home/509557,June-9-2017,June-2017,98005,1998,363,387
10706 NE 24th St,https://www.redfin.com/WA/Bellevue/10706-NE-24th-St-98004/home/506863,June-9-2017,June-2017,98004,2000,511,533
16729 SE 12th St,https://www.redfin.com/WA/Bellevue/16729-SE-12th-St-98008/home/429521,June-9-2017,June-2017,98008,1958,258,322
750 168th Pl SE,https://www.redfin.com/WA/Bellevue/750-168th-Pl-SE-98008/home/327424,June-12-2017,June-2017,98008,2000,437,459
17121 SE 47th Pl,https://www.redfin.com/WA/Bellevue/17121-SE-47th-Pl-98006/home/240810,June-12-2017,June-2017,98006,1992,394,424
4630 146th Pl SE,https://www.redfin.com/WA/Bellevue/4630-146th-Pl-SE-98006/home/238383,June-12-2017,June-2017,98006,1978,469,513
2520 103rd Ave SE,https://www.redfin.com/WA/Bellevue/2520-103rd-Ave-SE-98004/home/253808,June-12-2017,June-2017,98004,2003,561,580
1316 142nd Pl NE,https://www.redfin.com/WA/Bellevue/1316-142nd-Pl-NE-98007/home/501746,June-12-2017,June-2017,98007,1977,417,462
1654 180th Ave NE,https://www.redfin.com/WA/Bellevue/1654-180th-Ave-NE-98008/home/504616,June-12-2017,June-2017,98008,1975,478,525
1248 151st Ave SE,https://www.redfin.com/WA/Bellevue/1248-151st-Ave-SE-98007/home/427625,June-12-2017,June-2017,98007,1962,318,378
13610 SE 59th St,https://www.redfin.com/WA/Bellevue/13610-SE-59th-St-98006/home/236524,June-12-2017,June-2017,98006,1981,412,453
252 164th Ave SE,https://www.redfin.com/WA/Bellevue/252-164th-Ave-SE-98008/home/428352,June-14-2017,June-2017,98008,1957,357,422
16040 NE 3rd St,https://www.redfin.com/WA/Bellevue/16040-NE-3rd-St-98008/home/500611,June-14-2017,June-2017,98008,1958,502,566
942 177 Ave NE,https://www.redfin.com/WA/Bellevue/942-177th-Ave-NE-98008/home/502544,June-14-2017,June-2017,98008,1963,327,386
42 Skagit Ky,https://www.redfin.com/WA/Bellevue/42-Skagit-Ky-98006/home/409321,June-14-2017,June-2017,98006,1966,575,631
13408 SE 59th St,https://www.redfin.com/WA/Bellevue/13408-SE-59th-St-98006/home/238106,June-16-2017,June-2017,98006,1981,432,473
5609 126th Ave SE,https://www.redfin.com/WA/Bellevue/5609-126th-Ave-SE-98006/home/414446,June-16-2017,June-2017,98006,1963,295,354
6045 158th Ave SE,https://www.redfin.com/WA/Bellevue/6045-158th-Ave-SE-98006/home/239498,June-16-2017,June-2017,98006,1992,415,445
9848 NE 30th St,https://www.redfin.com/WA/Bellevue/9848-NE-30th-St-98004/home/250762,June-16-2017,June-2017,98004,1952,771,841
1930 165th Pl NE,https://www.redfin.com/WA/Bellevue/1930-165th-Pl-NE-98008/home/432172,June-16-2017,June-2017,98008,1965,410,467
18 Skagit Ky,https://www.redfin.com/WA/Bellevue/18-Skagit-Ky-98006/home/409126,June-16-2017,June-2017,98006,1973,729,778
3210 116th Ave NE,https://www.redfin.com/WA/Bellevue/3210-116th-Ave-NE-98004/home/430839,June-16-2017,June-2017,98004,1961,403,464
4241 145th Ave SE,https://www.redfin.com/WA/Bellevue/4241-145th-Ave-SE-98006/home/234430,June-16-2017,June-2017,98006,1954,581,649
3015 98th Ave NE,https://www.redfin.com/WA/Clyde-Hill/3015-98th-Ave-NE-98004/home/252808,June-16-2017,June-2017,98004,1954,1001,1069
1990 134th Pl SE,https://www.redfin.com/WA/Bellevue/1990-134th-Pl-SE-98005/home/22464186,June-19-2017,June-2017,98005,2011,391,402
15613 SE 42nd Pl,https://www.redfin.com/WA/Bellevue/15613-SE-42nd-Pl-98006/home/235174,June-19-2017,June-2017,98006,1968,358,412
7022 121st Ave SE,https://www.redfin.com/WA/Newcastle/7022-121st-Ave-SE-98056/home/416906,June-19-2017,June-2017,98056,1961,340,401
15423 SE 67th Pl,https://www.redfin.com/WA/Bellevue/15423-SE-67th-Pl-98006/home/235889,June-19-2017,June-2017,98006,1991,311,342
10410 NE 26th St,https://www.redfin.com/WA/Bellevue/10410-NE-26th-Ln-98004/home/506607,June-19-2017,June-2017,98004,2017,511,516
13911 SE 64th St,https://www.redfin.com/WA/Bellevue/13911-SE-64th-St-98006/home/237234,June-20-2017,June-2017,98006,1989,488,521
2817 173rd Ct NE,https://www.redfin.com/WA/Redmond/2817-173rd-Ct-NE-98052/home/503431,June-20-2017,June-2017,98052,1991,315,346
13405 SE 43rd Pl,https://www.redfin.com/WA/Bellevue/13405-SE-43rd-Pl-98006/home/237712,June-20-2017,June-2017,98006,1961,445,506
16685 SE 67TH Ct,https://www.redfin.com/WA/Bellevue/16685-SE-67th-Ct-98006/home/144408009,June-20-2017,June-2017,98006,2016,350,356
1209 108th Ave SE,https://www.redfin.com/WA/Bellevue/1209-108th-Ave-SE-98004/home/510676,June-20-2017,June-2017,98004,2013,576,585
