ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
17818 42nd Ave SE 22,https://www.redfin.com/WA/Bothell/17818-42nd-Ave-SE-98012/unit-22/home/109500470,May-30-2017,May-2017,98012,2016,250,256
17431 Palomino Dr,https://www.redfin.com/WA/Bothell/17431-Palomino-Dr-98012/home/2774510,May-30-2017,May-2017,98012,1977,260,305
8245 NE 196th St 3,https://www.redfin.com/WA/Kenmore/8245-NE-196th-St-98028/unit-3/home/113252275,May-30-2017,May-2017,98028,2017,259,264
8239 NE 196th St 6,https://www.redfin.com/WA/Kenmore/8239-NE-196th-St-98028/unit-6/home/113165825,May-30-2017,May-2017,98028,2017,248,253
2707 164th Pl SE,https://www.redfin.com/WA/Bothell/2707-164th-Pl-SE-98012/home/2784386,May-30-2017,May-2017,98012,1979,295,338
18807 36th Dr SE,https://www.redfin.com/WA/Bothell/18807-36th-Dr-SE-98012/home/11880525,May-30-2017,May-2017,98012,2006,225,241
16814 1st Ave SE,https://www.redfin.com/WA/Bothell/16814-1st-Ave-SE-98012/home/2716038,May-30-2017,May-2017,98012,1971,154,205
17808 42nd Ave SE 19,https://www.redfin.com/WA/Bothell/17808-42nd-Ave-SE-98012/unit-19/home/177184536,May-30-2017,May-2017,98012,2016,253,259
4120 161st St SE,https://www.redfin.com/WA/Bothell/4120-161st-St-SE-98012/home/112337872,May-30-2017,May-2017,98012,2017,248,253
3505 160th Pl SE,https://www.redfin.com/WA/Bothell/3505-160th-Pl-SE-98012/home/22935622,May-30-2017,May-2017,98012,2006,307,323
23924 22nd Dr SE,https://www.redfin.com/WA/Bothell/23924-22nd-Dr-SE-98021/home/2824306,May-30-2017,May-2017,98021,1990,292,324
21219 42nd Ave SE 5,https://www.redfin.com/WA/Bothell/21219-42nd-Ave-SE-98021/unit-5/home/177707258,May-30-2017,May-2017,98021,2016,268,274
17513 Woodland Dr,https://www.redfin.com/WA/Bothell/17513-Woodland-Dr-98012/home/2773935,May-31-2017,May-2017,98012,1977,271,316
17820 42 Ave SE 24,https://www.redfin.com/WA/Bothell/17820-42nd-Ave-SE-98012/unit-24/home/144420410,May-31-2017,May-2017,98012,2017,264,269
18115 31st Ave SE,https://www.redfin.com/WA/Bothell/18115-31st-Ave-SE-98012/home/40603776,May-31-2017,May-2017,98012,2011,298,309
118 176th Pl SW 1,https://www.redfin.com/WA/Bothell/118-176th-Pl-SW-98012/unit-1/home/177707269,May-31-2017,May-2017,98012,2017,282,287
17826 42nd Ave SE 29,https://www.redfin.com/WA/Bothell/17826-42nd-Ave-SE-98012/unit-29/home/144420404,May-31-2017,May-2017,98012,2017,273,278
18617 101 Ave NE,https://www.redfin.com/WA/Bothell/18617-101st-Ave-NE-98011/home/285894,May-31-2017,May-2017,98011,1995,361,388
4125 174th St SE 75,https://www.redfin.com/WA/Bothell/4125-174th-St-SE-98012/unit-75/home/109483225,May-31-2017,May-2017,98012,2016,262,268
1016 234th Pl SW,https://www.redfin.com/WA/Bothell/1016-234th-Pl-SW-98021/home/2810021,May-31-2017,May-2017,98021,1988,372,406
17822 42nd Ave SE 25,https://www.redfin.com/WA/Bothell/17822-42nd-Ave-SE-98012/unit-25/home/177707230,May-31-2017,May-2017,98012,2017,261,266
18604 41st Dr SE 39,https://www.redfin.com/WA/Bothell/18604-41st-Dr-SE-98012/unit-39/home/144420412,May-31-2017,May-2017,98012,2017,265,270
21801 3rd Pl W,https://www.redfin.com/WA/Bothell/21801-3rd-Pl-W-98021/home/2734997,May-31-2017,May-2017,98021,1968,331,385
18608 41st Dr SE 40,https://www.redfin.com/WA/Bothell/18608-41st-Dr-SE-98012/unit-40/home/144420413,May-31-2017,May-2017,98012,2017,263,268
21926 44th Dr SE,https://www.redfin.com/WA/Bothell/21926-44th-Dr-SE-98021/home/12490753,May-31-2017,May-2017,98021,2006,262,278
3229 178th Place SE 4,https://www.redfin.com/WA/Bothell/3229-178th-Pl-SE-98012/unit-4/home/101872487,May-31-2017,May-2017,98012,2015,250,257
2532 180th Pl SE,https://www.redfin.com/WA/Bothell/2532-180th-Pl-SE-98012/home/2808775,May-31-2017,May-2017,98012,1987,312,347
15314 43rd Ave SE,https://www.redfin.com/WA/Bothell/15314-43rd-Ave-SE-98012/home/11880573,June-1-2017,June-2017,98012,2005,233,250
