ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
2055 Larchmount Dr NE,https://www.redfin.com/WA/Issaquah/2055-Larchmount-Dr-NE-98029/home/2064083,May-19-2017,May-2017,98029,2004,435,453
13516 251st Ave SE,https://www.redfin.com/WA/Issaquah/13516-251st-Ave-SE-98027/home/425106,May-19-2017,May-2017,98027,1982,284,324
30112 SE 86th St,https://www.redfin.com/WA/Issaquah/30112-SE-86th-St-98027/home/468401,May-19-2017,May-2017,98027,1962,151,211
24103 SE 46th Pl,https://www.redfin.com/WA/Issaquah/24103-SE-46th-Pl-98029/home/437944,May-19-2017,May-2017,98029,1988,375,409
12055 206th Pl SE,https://www.redfin.com/WA/Issaquah/12055-206th-Pl-SE-98027/home/420141,May-22-2017,May-2017,98027,1962,233,293
5058 231st Ave SE 30,https://www.redfin.com/WA/Issaquah/5058-231st-Ave-SE-98029/unit-30/home/110231733,May-22-2017,May-2017,98029,2016,291,297
24116 SE 37th Pl,https://www.redfin.com/WA/Issaquah/24116-SE-37th-Pl-98029/home/439846,May-22-2017,May-2017,98029,1988,389,423
2365 NW Oak Crest Dr,https://www.redfin.com/WA/Issaquah/2365-NW-Oakcrest-Dr-98027/home/421135,May-24-2017,May-2017,98027,1986,426,462
1889 30th Ave NE,https://www.redfin.com/WA/Issaquah/1889-30th-Ave-NE-98029/home/465939,May-24-2017,May-2017,98029,2004,376,394
25300 SE 35th St,https://www.redfin.com/WA/Issaquah/25300-SE-35th-St-98029/home/438340,May-24-2017,May-2017,98029,1989,374,407
4444 191st Pl SE,https://www.redfin.com/WA/Issaquah/4444-191st-Pl-SE-98027/home/326639,May-25-2017,May-2017,98027,1980,297,339
1468 NE Jade St,https://www.redfin.com/WA/Issaquah/1468-NE-Jade-St-98029/home/467339,May-26-2017,May-2017,98029,1998,422,446
4329 239th Pl SE,https://www.redfin.com/WA/Issaquah/4329-239th-Pl-SE-98029/home/437910,May-26-2017,May-2017,98029,1987,365,400
24210 SE 43rd Ct,https://www.redfin.com/WA/Issaquah/24210-SE-43rd-Ct-98029/home/439643,May-26-2017,May-2017,98029,1986,400,436
18803 SE 60th St,https://www.redfin.com/WA/Issaquah/18803-SE-60th-St-98027/home/418294,May-30-2017,May-2017,98027,1982,349,389
20637 SE 135th St,https://www.redfin.com/WA/Issaquah/20637-SE-135th-St-98027/home/422413,May-31-2017,May-2017,98027,1987,337,372
2692 22nd Ave NE,https://www.redfin.com/WA/Issaquah/2692-22nd-Ave-NE-98029/home/12448579,May-31-2017,May-2017,98029,2007,321,336
13607 229th Dr SE,https://www.redfin.com/WA/Issaquah/13607-229th-Dr-SE-98027/home/422250,May-31-2017,May-2017,98027,1989,272,305
4325 239th Pl SE,https://www.redfin.com/WA/Issaquah/4325-239th-Pl-SE-98029/home/437911,May-31-2017,May-2017,98029,1986,289,325
4737 242nd Ave SE,https://www.redfin.com/WA/Issaquah/4737-242nd-Ave-SE-98029/home/438700,May-31-2017,May-2017,98029,1988,283,317
615 Wilderness Peak Dr NW,https://www.redfin.com/WA/Issaquah/615-Wilderness-Peak-Dr-NW-98027/home/418973,May-31-2017,May-2017,98027,2004,321,339
4028 252nd Ave SE,https://www.redfin.com/WA/Issaquah/4028-252nd-Ave-SE-98029/home/437819,May-31-2017,May-2017,98029,1996,382,408
1458 29th Pl NE,https://www.redfin.com/WA/Issaquah/1458-29th-Pl-NE-98029/home/8188424,June-1-2017,June-2017,98029,2007,348,363
4357 239th Pl SE,https://www.redfin.com/WA/Issaquah/4357-239th-Pl-SE-98029/home/437933,June-1-2017,June-2017,98029,1985,374,411
1847 30th Ave NE,https://www.redfin.com/WA/Issaquah/1847-30th-Ave-NE-98029/home/466618,June-1-2017,June-2017,98029,2004,404,422
400 Everwood Ct NW,https://www.redfin.com/WA/Issaquah/400-Everwood-Ct-98027/home/421062,June-2-2017,June-2017,98027,1994,328,356
25724 SE 40th St,https://www.redfin.com/WA/Issaquah/25724-SE-40th-St-98029/home/436654,June-5-2017,June-2017,98029,1991,391,422
571 Alpine Ridge Pl NW,https://www.redfin.com/WA/Issaquah/571-Alpine-Ridge-Pl-NW-98027/home/2064538,June-5-2017,June-2017,98027,2006,360,376
761 Mt View Pl SW,https://www.redfin.com/WA/Issaquah/761-Mountain-View-Pl-SW-98027/home/421280,June-6-2017,June-2017,98027,1965,423,480
752 Summerhill Ridge Dr NW,https://www.redfin.com/WA/Issaquah/752-Summerhill-Ridge-Dr-NW-98027/home/2077536,June-7-2017,June-2017,98027,2005,256,273
711 Lingering Pine Dr NW,https://www.redfin.com/WA/Issaquah/711-Lingering-Pine-Dr-NW-98027/home/12303078,June-7-2017,June-2017,98027,2007,263,278
496 Wilderness Peak Dr NW,https://www.redfin.com/WA/Issaquah/496-Wilderness-Peak-Dr-NW-98027/home/418908,June-8-2017,June-2017,98027,2004,325,343
26510 SE 172nd SE,https://www.redfin.com/WA/Issaquah/26510-SE-172nd-St-98027/home/425056,June-8-2017,June-2017,98027,1959,476,539
24201 SE 38th Pl,https://www.redfin.com/WA/Issaquah/24201-SE-38th-Pl-98029/home/439577,June-8-2017,June-2017,98029,1987,393,428
4605 246th Pl SE,https://www.redfin.com/WA/Issaquah/4605-246th-Pl-SE-98029/home/436943,June-8-2017,June-2017,98029,1988,392,426
15607 260 Ave SE,https://www.redfin.com/WA/Issaquah/15607-260th-Ave-SE-98027/home/425477,June-9-2017,June-2017,98027,1982,286,326
180 Mt. Pilchuck Ave SW,https://www.redfin.com/WA/Issaquah/180-Mt-Pilchuck-Ave-SW-98027/home/421679,June-9-2017,June-2017,98027,1979,296,339
4402 256th Ave SE,https://www.redfin.com/WA/Issaquah/4402-256th-Ave-SE-98029/home/466502,June-10-2017,June-2017,98029,1990,362,394
677 Bear Ridge Dr NW,https://www.redfin.com/WA/Issaquah/677-Bear-Ridge-Dr-NW-98027/home/419290,June-12-2017,June-2017,98027,2004,307,325
19209 SE 43rd Pl,https://www.redfin.com/WA/Issaquah/19209-SE-43rd-Pl-98027/home/325976,June-12-2017,June-2017,98027,1980,386,428
50 Mt. Olympus Dr SW,https://www.redfin.com/WA/Issaquah/50-Mt-Olympus-Dr-SW-98027/home/420622,June-13-2017,June-2017,98027,1976,378,424
4449 229th Pl SE,https://www.redfin.com/WA/Sammamish/4449-229th-Pl-SE-98075/home/269137,June-13-2017,June-2017,98075,1998,355,379
18912 SE 44th Pl,https://www.redfin.com/WA/Issaquah/18912-SE-44th-Pl-98027/home/326910,June-14-2017,June-2017,98027,1979,384,427
749 Bear Ridge Dr NW,https://www.redfin.com/WA/Issaquah/749-Bear-Ridge-Dr-NW-98027/home/418789,June-14-2017,June-2017,98027,2003,256,275
26625 SE Old Black Nugget Rd,https://www.redfin.com/WA/Issaquah/26625-SE-Old-Black-Nugget-Rd-98029/home/468343,June-14-2017,June-2017,98029,1999,377,400
24315 SE 43rd Pl,https://www.redfin.com/WA/Issaquah/24315-SE-43rd-Pl-98029/home/438387,June-14-2017,June-2017,98029,1987,414,449
