ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
11125 Champagne Point Rd NE,https://www.redfin.com/WA/Kirkland/11125-Champagne-Point-Rd-NE-98034/home/280423,May-19-2017,May-2017,98034,2001,348,369
13436 90th Pl NE,https://www.redfin.com/WA/Kirkland/13436-90th-Pl-NE-98034/home/278145,May-19-2017,May-2017,98034,1968,468,522
710 3rd St,https://www.redfin.com/WA/Kirkland/710-3rd-St-98033/home/463874,May-19-2017,May-2017,98033,1998,486,510
11337 NE 145th St,https://www.redfin.com/WA/Kirkland/11337-NE-145th-St-98034/home/456993,May-19-2017,May-2017,98034,1949,226,299
10442 NE 116th St,https://www.redfin.com/WA/Kirkland/10442-NE-116th-St-98034/home/459277,May-19-2017,May-2017,98034,1963,290,349
9220 NE 141st St,https://www.redfin.com/WA/Kirkland/9220-NE-141st-St-98034/home/278565,May-19-2017,May-2017,98034,1977,410,455
12624 NE 105th Pl Unit L-2,https://www.redfin.com/WA/Kirkland/12624-NE-105th-Pl-98033/unit-L-2/home/113002663,May-19-2017,May-2017,98033,2017,408,413
7812 NE 140th St,https://www.redfin.com/WA/Kirkland/7812-NE-140th-St-98034/home/275099,May-19-2017,May-2017,98034,1982,300,340
10614 NE 146th St,https://www.redfin.com/WA/BOTHELL/10614-NE-146TH-ST-98011/home/456586,May-19-2017,May-2017,98011,1977,342,387
14134 101st Pl NE,https://www.redfin.com/WA/Kirkland/14134-101st-Pl-NE-98034/home/457897,May-20-2017,May-2017,98034,1978,313,357
12617 NE 87th Pl,https://www.redfin.com/WA/Kirkland/12617-NE-87th-Pl-98033/home/175875440,May-22-2017,May-2017,98033,1984,321,359
8107 126th Ave NE,https://www.redfin.com/WA/Kirkland/8107-126th-Ave-NE-98033/home/515725,May-22-2017,May-2017,98033,1923,481,580
3906 116th Ave NE,https://www.redfin.com/WA/Bellevue/3906-116th-Ave-NE-98004/home/430748,May-22-2017,May-2017,98004,1983,402,441
8710 NE 144th Ct,https://www.redfin.com/WA/Kirkland/8710-NE-144th-Ct-98034/home/279145,May-22-2017,May-2017,98034,1991,389,420
