ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
604 141st St SW Lot 1,https://www.redfin.com/WA/Lynnwood/604-141st-St-SW-98087/unit-1/home/146397107,May-19-2017,May-2017,98087,2016,306,312
6209 181st Pl SW,https://www.redfin.com/WA/Lynnwood/6209-181st-Pl-SW-98037/home/2739580,May-19-2017,May-2017,98037,1958,306,370
3526 158th Pl SW,https://www.redfin.com/WA/Lynnwood/3526-158th-Pl-SW-98087/home/12105003,May-19-2017,May-2017,98087,2007,218,233
15125 44th Ave W,https://www.redfin.com/WA/Lynnwood/15125-44th-Ave-W-98087/home/2798642,May-22-2017,May-2017,98087,1982,311,351
18322 15th Pl W 45,https://www.redfin.com/WA/Lynnwood/18322-15th-Pl-W-98037/unit-45/home/177183601,May-23-2017,May-2017,98037,2017,244,249
14922 23rd Pl W,https://www.redfin.com/WA/Lynnwood/14922-23rd-Pl-W-98087/home/2858107,May-23-2017,May-2017,98087,1997,250,275
13913 15th Ave W,https://www.redfin.com/WA/Lynnwood/13913-15th-Ave-W-98087/home/2913024,May-24-2017,May-2017,98087,2005,206,223
9 152nd St SW,https://www.redfin.com/WA/Lynnwood/9-152nd-St-SW-98087/home/63473040,May-24-2017,May-2017,98087,2015,211,218
2125 146th Pl SW,https://www.redfin.com/WA/Lynnwood/2125-146th-Pl-SW-98087/home/2897549,May-25-2017,May-2017,98087,2003,222,241
18329 15th Pl W 31,https://www.redfin.com/WA/Lynnwood/18329-15th-Pl-W-98037/unit-31/home/177183590,May-25-2017,May-2017,98037,2017,224,229
2706 211th St SW,https://www.redfin.com/WA/Lynnwood/2706-211th-St-SW-98036/home/2819913,May-26-2017,May-2017,98036,1989,312,345
14707 Meadow Rd,https://www.redfin.com/WA/Lynnwood/14707-Meadow-Rd-98087/home/2656288,May-26-2017,May-2017,98087,1997,286,311
13006 31st Ave W 03,https://www.redfin.com/WA/Lynnwood/13006-31st-Ave-W-98087/unit-03/home/112855534,May-26-2017,May-2017,98087,2017,213,218
2130 150th Pl SW,https://www.redfin.com/WA/Lynnwood/2130-150th-Pl-SW-98087/home/3034462,May-26-2017,May-2017,98087,2003,287,306
14611 42nd Ave W,https://www.redfin.com/WA/Lynnwood/14611-42nd-Ave-W-98087/home/2744950,May-26-2017,May-2017,98087,1992,219,249
18325 15th Pl W 32,https://www.redfin.com/WA/Lynnwood/18325-15th-Pl-W-98037/unit-32/home/177183599,May-26-2017,May-2017,98037,2017,230,235
17827 12th Pl W,https://www.redfin.com/WA/Lynnwood/17827-12th-Pl-W-98037/home/113855248,May-26-2017,May-2017,98037,2017,247,252
1730 215th St SW,https://www.redfin.com/WA/Lynnwood/1730-215th-St-SW-98036/home/2676126,May-26-2017,May-2017,98036,1962,242,302
20803 Poplar Way,https://www.redfin.com/WA/Lynnwood/20803-Poplar-Way-98036/home/2649452,May-26-2017,May-2017,98036,1977,264,309
5519 166th Pl SW,https://www.redfin.com/WA/Lynnwood/5519-166th-Pl-SW-98037/home/2719072,May-26-2017,May-2017,98037,1978,233,277
19724 Cypress Way,https://www.redfin.com/WA/Lynnwood/19724-Cypress-Way-98036/home/2675994,May-26-2017,May-2017,98036,1960,332,394
14828 Old Manor Way,https://www.redfin.com/WA/Lynnwood/14828-Old-Manor-Way-98087/home/2646740,May-30-2017,May-2017,98087,1954,271,339
15619 10th Ave W,https://www.redfin.com/WA/Lynnwood/15619-10th-Ave-W-98087/home/2653581,May-30-2017,May-2017,98087,1964,238,296
4027 192nd Pl SW,https://www.redfin.com/WA/Lynnwood/4027-192nd-Pl-SW-98036/home/2660925,May-30-2017,May-2017,98036,1966,240,296
1530 173rd St SW,https://www.redfin.com/WA/Lynnwood/1530-173rd-St-SW-98037/home/2782206,May-30-2017,May-2017,98037,1979,248,291
5817 176th St SW,https://www.redfin.com/WA/Lynnwood/5817-176th-St-SW-98037/home/2718978,May-31-2017,May-2017,98037,1998,252,276
3710 167 Pl SW,https://www.redfin.com/WA/Lynnwood/3710-167th-Pl-SW-98037/home/2830361,May-31-2017,May-2017,98037,1992,213,243
18511 44th Ave W,https://www.redfin.com/WA/Lynnwood/18511-44th-Ave-W-98037/home/2746060,May-31-2017,May-2017,98037,1966,210,266
17823 12th Pl W,https://www.redfin.com/WA/Lynnwood/17823-12th-Pl-W-98037/home/113812125,May-31-2017,May-2017,98037,2017,252,257
331 202nd Place SW 10,https://www.redfin.com/WA/Lynnwood/331-202nd-Pl-SW-98036/unit-10/home/101603676,May-31-2017,May-2017,98036,2014,236,244
2015 142nd Pl SW,https://www.redfin.com/WA/Lynnwood/2015-142nd-Pl-SW-98087/home/2903758,May-31-2017,May-2017,98087,2004,226,244
18220 72nd Ave W,https://www.redfin.com/WA/Edmonds/18220-72nd-Ave-W-98026/home/2703304,May-31-2017,May-2017,98026,1960,276,338
20622 54th Ave W,https://www.redfin.com/WA/Lynnwood/20622-54th-Ave-W-98036/home/2697738,May-31-2017,May-2017,98036,1964,203,261
15801 60th Ave W,https://www.redfin.com/WA/Edmonds/15801-60th-Ave-W-98026/home/58775651,May-31-2017,May-2017,98026,2014,251,259
4431 150th St SW,https://www.redfin.com/WA/Lynnwood/4431-150th-St-SW-98087/home/2784620,May-31-2017,May-2017,98087,1979,279,322
17425 54th Pl W,https://www.redfin.com/WA/Lynnwood/17425-54th-Pl-W-98037/home/2804698,May-31-2017,May-2017,98037,1984,243,281
120 155th St SE,https://www.redfin.com/WA/Lynnwood/120-155th-St-SE-98087/home/2669873,June-1-2017,June-2017,98087,1968,296,350
