ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
12022 178 Pl NE,https://www.redfin.com/WA/Redmond/12022-178th-Pl-NE-98052/home/2065880,May-19-2017,May-2017,98052,2006,331,347
23028 NE 126th St,https://www.redfin.com/WA/Redmond/23028-NE-126th-St-98053/home/2059982,May-19-2017,May-2017,98053,2004,361,379
16716 NE 102nd Pl,https://www.redfin.com/WA/Redmond/16716-NE-102nd-Pl-98052/home/322849,May-19-2017,May-2017,98052,1976,385,431
9025 172nd Ave NE,https://www.redfin.com/WA/Redmond/9025-172nd-Ave-NE-98052/home/324576,May-22-2017,May-2017,98052,1968,394,448
4511 164th Ct NE,https://www.redfin.com/WA/Redmond/4511-164th-Ct-NE-98052/home/504441,May-22-2017,May-2017,98052,1982,483,523
9608 169th Ave NE,https://www.redfin.com/WA/Redmond/9608-169th-Ave-NE-98052/home/323444,May-23-2017,May-2017,98052,1967,361,416
15311 NE 62nd Ct,https://www.redfin.com/WA/Redmond/15311-NE-62nd-Ct-98052/home/515437,May-23-2017,May-2017,98052,1977,435,480
27910 NE 47th St,https://www.redfin.com/WA/Redmond/27910-NE-47th-St-98053/home/446943,May-23-2017,May-2017,98053,1978,283,327
21201 NE 50th St,https://www.redfin.com/WA/Redmond/21201-NE-50th-St-98053/home/264285,May-23-2017,May-2017,98052,1914,277,385
11862 155th Ave NE,https://www.redfin.com/WA/Redmond/11862-155th-Ave-NE-98052/home/109660633,May-23-2017,May-2017,98052,2016,448,454
13820 NE 71st Pl,https://www.redfin.com/WA/Redmond/13820-NE-71st-Pl-98052/home/517363,May-24-2017,May-2017,98052,1966,389,445
8603 169th Pl NE,https://www.redfin.com/WA/Redmond/8603-169th-Pl-NE-98052/home/324055,May-24-2017,May-2017,98052,1982,546,586
23607 NE 72nd St,https://www.redfin.com/WA/Redmond/23607-NE-72nd-St-98053/home/444734,May-24-2017,May-2017,98053,1981,342,383
16839 NE 89th St,https://www.redfin.com/WA/Redmond/16839-NE-89th-St-98052/home/323016,May-24-2017,May-2017,98052,1976,319,365
26440 NE 53rd St,https://www.redfin.com/WA/Redmond/26440-NE-53rd-St-98053/home/446704,May-24-2017,May-2017,98053,1962,225,285
10661 242nd Pl NE,https://www.redfin.com/WA/Redmond/10661-242nd-Pl-NE-98053/home/22460004,May-25-2017,May-2017,98053,2010,337,349
7837 235TH Pl NE,https://www.redfin.com/WA/Redmond/7837-235th-Pl-NE-98053/home/442867,May-25-2017,May-2017,98053,1993,336,365
21060 NE 91st St,https://www.redfin.com/WA/Redmond/21060-NE-91st-St-98053/home/443543,May-25-2017,May-2017,98053,1958,444,508
10411 176th Pl NE,https://www.redfin.com/WA/Redmond/10411-176th-Pl-NE-98052/home/325324,May-25-2017,May-2017,98052,1991,419,450
18505 NE 109th St,https://www.redfin.com/WA/Redmond/18505-NE-109th-St-98052/home/445728,May-25-2017,May-2017,98052,1978,358,402
21407 NE 97th Pl,https://www.redfin.com/WA/Redmond/21407-NE-97th-Pl-98053/home/442741,May-25-2017,May-2017,98053,1997,363,388
9521 167th Ave NE,https://www.redfin.com/WA/Redmond/9521-167th-Ave-NE-98052/home/322692,May-26-2017,May-2017,98052,1966,509,565
23826 NE 124th Ter,https://www.redfin.com/WA/Redmond/23826-NE-124th-Ter-98053/home/2077884,May-26-2017,May-2017,98053,2005,421,438
7516 230th Ave NE,https://www.redfin.com/WA/Redmond/7516-230th-Ave-NE-98053/home/445112,May-26-2017,May-2017,98053,1979,385,428
22805 NE 97th Pl,https://www.redfin.com/WA/Redmond/22805-NE-97th-Pl-98053/home/444340,May-26-2017,May-2017,98053,2001,329,350
16608 NE 132 St,https://www.redfin.com/WA/Redmond/16608-NE-132nd-St-98052/home/450371,May-26-2017,May-2017,98052,1987,328,363
5822 189th Pl NE,https://www.redfin.com/WA/Redmond/5822-189th-Pl-NE-98052/home/443885,May-26-2017,May-2017,98052,2002,443,463
13017 NE 96TH Pl,https://www.redfin.com/WA/Kirkland/13017-NE-96th-Pl-98033/home/52428766,May-26-2017,May-2017,98033,2015,433,440
18110 NE 109 St,https://www.redfin.com/WA/Redmond/18110-NE-109th-St-98052/home/325479,May-27-2017,May-2017,98052,1986,444,480
21808 NE 81st St,https://www.redfin.com/WA/Redmond/21808-NE-81st-St-98053/home/442958,May-30-2017,May-2017,98053,1978,286,330
17749 NE 122nd St,https://www.redfin.com/WA/Redmond/17749-NE-122nd-St-98052/home/2078690,May-30-2017,May-2017,98052,2005,347,364
5005 162nd Ave NE,https://www.redfin.com/WA/Redmond/5005-162nd-Ave-NE-98052/home/504247,May-30-2017,May-2017,98052,1990,438,470
13637 178th Ave NE,https://www.redfin.com/WA/Redmond/13637-178th-Ave-NE-98052/home/449759,May-30-2017,May-2017,98052,1983,444,483
16018 NE 44th Ct,https://www.redfin.com/WA/Redmond/16018-NE-44th-Ct-98052/home/504831,May-30-2017,May-2017,98052,1998,447,471
17370 NE 123rd Way,https://www.redfin.com/WA/Redmond/17370-NE-123rd-Way-98052/home/59703943,May-30-2017,May-2017,98052,2017,405,410
5430 160th Pl NE,https://www.redfin.com/WA/Redmond/5430-160th-Pl-NE-98052/home/502850,May-30-2017,May-2017,98052,2017,328,333
17504 NE 141st St,https://www.redfin.com/WA/Redmond/17504-NE-141st-St-98052/home/451218,May-30-2017,May-2017,98052,1985,369,406
16422 132nd,https://www.redfin.com/WA/Redmond/16422-NE-132nd-St-98052/home/450898,May-30-2017,May-2017,98052,1985,335,372
17823 NE 102nd Ct,https://www.redfin.com/WA/Redmond/17823-NE-102nd-Ct-98052/home/323912,May-30-2017,May-2017,98052,1985,480,517
