ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
24816 NE 25th St,https://www.redfin.com/WA/Sammamish/24816-NE-25th-St-98074/home/261794,May-30-2017,May-2017,98074,2002,308,328
22506 SE 14th Pl,https://www.redfin.com/WA/Sammamish/22506-SE-14th-Pl-98075/home/433426,May-30-2017,May-2017,98075,1999,330,353
19322 SE 21st St,https://www.redfin.com/WA/Sammamish/19322-SE-21st-St-98075/home/266736,May-30-2017,May-2017,98075,1981,287,328
24327 NE 14th Pl,https://www.redfin.com/WA/Sammamish/24327-NE-14th-Pl-98074/home/109660857,May-30-2017,May-2017,98074,2017,377,382
22630 NE 14th Pl,https://www.redfin.com/WA/Sammamish/22630-NE-14th-Pl-98074/home/266619,May-30-2017,May-2017,98074,1988,417,451
27137 SE 19th Pl,https://www.redfin.com/WA/Sammamish/27137-SE-19th-Pl-98075/home/50268210,May-31-2017,May-2017,98075,2014,312,320
4325 239th Pl SE,https://www.redfin.com/WA/Issaquah/4325-239th-Pl-SE-98029/home/437911,May-31-2017,May-2017,98029,1986,289,325
2222 271st Ct SE,https://www.redfin.com/WA/Sammamish/2222-271st-Ct-SE-98075/home/439128,May-31-2017,May-2017,98075,1997,349,374
21008 NE 36th St,https://www.redfin.com/WA/Sammamish/21008-NE-36th-St-98074/home/264033,May-31-2017,May-2017,98074,1981,361,402
2444 196th Ave SE,https://www.redfin.com/WA/Sammamish/2444-196th-Ave-SE-98075/home/267470,May-31-2017,May-2017,98075,1992,338,368
4028 252nd Ave SE,https://www.redfin.com/WA/Issaquah/4028-252nd-Ave-SE-98029/home/437819,May-31-2017,May-2017,98029,1996,382,408
3517 262nd Ave SE,https://www.redfin.com/WA/Sammamish/3517-262nd-Ave-SE-98075/home/440335,May-31-2017,May-2017,98075,1994,330,358
26630 (Lot 10) SE 9th Way,https://www.redfin.com/WA/Sammamish/26630-SE-9th-Way-98075/home/101611032,May-31-2017,May-2017,98075,2017,291,296
22931 NE 27th Pl,https://www.redfin.com/WA/Sammamish/22931-NE-27th-Pl-98074/home/261157,May-31-2017,May-2017,98074,1981,351,392
1509 247th Ave NE,https://www.redfin.com/WA/Sammamish/1509-247th-Ave-NE-98074/home/106725404,May-31-2017,May-2017,98074,2016,329,335
1201 250th Ave NE,https://www.redfin.com/WA/Redmond/1201-250th-Ave-NE-98074/home/266325,May-31-2017,May-2017,98074,1980,351,393
4737 242nd Ave SE,https://www.redfin.com/WA/Issaquah/4737-242nd-Ave-SE-98029/home/438700,May-31-2017,May-2017,98029,1988,283,317
4357 239th Pl SE,https://www.redfin.com/WA/Issaquah/4357-239th-Pl-SE-98029/home/437933,June-1-2017,June-2017,98029,1985,374,411
1121 240th Way SE,https://www.redfin.com/WA/Sammamish/1121-240th-Way-SE-98075/home/434338,June-1-2017,June-2017,98075,2000,345,367
2431 277th Ave SE,https://www.redfin.com/WA/Sammamish/2431-277th-Ave-SE-98075/home/440319,June-2-2017,June-2017,98075,2003,278,297
611 208 Ave SE,https://www.redfin.com/WA/Sammamish/611-208th-Ave-SE-98074/home/267644,June-2-2017,June-2017,98074,1978,252,296
