ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
12547 NE 156th St,https://www.redfin.com/WA/Woodinville/12547-NE-156th-St-98072/home/452913,May-19-2017,May-2017,98072,1969,261,314
17518 199th Pl NE,https://www.redfin.com/WA/Woodinville/17518-199th-Pl-NE-98077/home/270030,May-22-2017,May-2017,98077,1968,336,390
19442 NE 166th Pl,https://www.redfin.com/WA/Woodinville/19442-NE-166th-Pl-98077/home/273069,May-23-2017,May-2017,98077,1979,244,287
14631 127th Ave NE,https://www.redfin.com/WA/Woodinville/14631-127th-Ave-NE-98072/home/453569,May-23-2017,May-2017,98072,1976,373,419
12516 208th Pl NE,https://www.redfin.com/WA/Woodinville/12516-208th-Pl-NE-98077/home/2068949,May-24-2017,May-2017,98077,2006,474,490
18125 194th Ave NE,https://www.redfin.com/WA/Woodinville/18125-194th-Ave-NE-98077/home/274128,May-24-2017,May-2017,98077,1976,205,251
22519 NE 165th Ct,https://www.redfin.com/WA/Woodinville/22519-NE-165th-Ct-98077/home/271889,May-24-2017,May-2017,98077,1994,295,323
17918 214th Ave NE,https://www.redfin.com/WA/Woodinville/17918-214th-Ave-NE-98077/home/272089,May-25-2017,May-2017,98077,1993,247,276
18308 NE 141st Pl,https://www.redfin.com/WA/Woodinville/18308-NE-141st-Pl-98072/home/450791,May-26-2017,May-2017,98072,1978,257,301
15307 NE 202nd St,https://www.redfin.com/WA/Woodinville/15307-NE-202nd-St-98072/home/270802,May-26-2017,May-2017,98072,1966,249,305
12522 126th Ave NE,https://www.redfin.com/WA/Bothell/12522-126th-Ave-NE-98011/home/144420168,May-26-2017,May-2017,98011,1990,170,202
17829 NE 205th St,https://www.redfin.com/WA/Woodinville/17829-NE-205th-St-98072/home/271626,May-30-2017,May-2017,98072,1996,282,308
15728 223rd Ave NE,https://www.redfin.com/WA/Woodinville/15728-223rd-Ave-NE-98077/home/272536,May-30-2017,May-2017,98077,1994,298,326
14474 156th Ave NE,https://www.redfin.com/WA/Woodinville/14474-156th-Ave-NE-98072/home/448429,May-30-2017,May-2017,98072,1983,241,280
12463 NE 164th St,https://www.redfin.com/WA/Woodinville/12463-NE-164th-St-98072/home/456331,May-31-2017,May-2017,98072,1989,337,370
18512 NE 184th St,https://www.redfin.com/WA/Woodinville/18512-NE-184th-St-98077/home/273821,May-31-2017,May-2017,98077,1978,336,380
22110 NE 198th St,https://www.redfin.com/WA/Woodinville/22110-NE-198th-St-98077/home/272564,June-1-2017,June-2017,98077,1991,231,262
16109 NE 169th Pl,https://www.redfin.com/WA/Woodinville/16109-NE-169th-Pl-98072/home/448278,June-1-2017,June-2017,98072,1977,337,382
15863 174th Ave NE,https://www.redfin.com/WA/Woodinville/15863-174th-Ave-NE-98072/home/269753,June-2-2017,June-2017,98072,1976,305,351
21812 NE 154th St,https://www.redfin.com/WA/Woodinville/21812-NE-154th-St-98077/home/273002,June-2-2017,June-2017,98077,1985,382,419
19903 NE 165 St,https://www.redfin.com/WA/Woodinville/19903-NE-165th-St-98077/home/271962,June-2-2017,June-2017,98077,1993,339,368
13736 242nd Ave NE,https://www.redfin.com/WA/Woodinville/13736-242nd-Ave-NE-98077/home/273136,June-2-2017,June-2017,98077,1998,340,364
17645 NE 163rd Pl,https://www.redfin.com/WA/Woodinville/17645-NE-163rd-Pl-98072/home/113910906,June-2-2017,June-2017,98072,1976,321,367
15406 NE 152nd Pl,https://www.redfin.com/WA/Woodinville/15406-NE-152nd-Pl-98072/home/449400,June-5-2017,June-2017,98072,1990,309,341
7521 235th St SE,https://www.redfin.com/WA/Woodinville/7521-235th-St-SE-98072/home/2636118,June-5-2017,June-2017,98072,1973,286,335
12822 198th Dr NE,https://www.redfin.com/WA/Woodinville/12822-198th-Dr-NE-98077/home/452292,June-6-2017,June-2017,98077,1992,325,355
18540 130 th Pl NE,https://www.redfin.com/WA/Woodinville/18540-130th-Pl-NE-98072/home/2087522,June-7-2017,June-2017,98072,2004,275,293
13615 NE 203rd St,https://www.redfin.com/WA/Woodinville/13615-NE-203rd-St-98072/home/287972,June-7-2017,June-2017,98072,2003,275,294
17824 182nd Ave NE,https://www.redfin.com/WA/Woodinville/17824-182nd-Ave-NE-98072/home/269794,June-7-2017,June-2017,98072,1977,364,409
22526 76th Ave SE,https://www.redfin.com/WA/Woodinville/22526-76th-Ave-SE-98072/home/2818831,June-7-2017,June-2017,98072,1990,280,312
18840 NE 159th St,https://www.redfin.com/WA/Woodinville/18840-NE-159th-St-98072/home/270165,June-7-2017,June-2017,98072,1957,335,400
17917 NE 154th St,https://www.redfin.com/WA/Woodinville/17917-NE-154th-St-98072/home/450128,June-7-2017,June-2017,98072,1988,321,355
16613 NE 180th Pl,https://www.redfin.com/WA/Woodinville/16613-NE-180th-Pl-98072/home/449076,June-8-2017,June-2017,98072,1961,408,469
18422 NE 192nd St,https://www.redfin.com/WA/Woodinville/18422-NE-192nd-St-98077/home/273837,June-9-2017,June-2017,98077,1986,324,360
19402 133rd Ct NE,https://www.redfin.com/WA/Woodinville/19402-133rd-Ct-NE-98072/home/287592,June-9-2017,June-2017,98072,1979,246,289
14039 171st Ln NE,https://www.redfin.com/WA/Woodinville/14039-171st-Ln-NE-98072/home/448407,June-12-2017,June-2017,98072,1992,387,417
24113 57th Ave SE,https://www.redfin.com/WA/Woodinville/24113-57th-Ave-SE-98072/home/2788034,June-14-2017,June-2017,98072,1981,289,330
19620 200th Ave NE,https://www.redfin.com/WA/Woodinville/19620-200th-Ave-NE-98077/home/274244,June-15-2017,June-2017,98077,1981,292,333
15315 NE 204th St,https://www.redfin.com/WA/Woodinville/15315-NE-204th-St-98072/home/108499472,June-16-2017,June-2017,98072,2016,379,385
20310 131st Ct NE,https://www.redfin.com/WA/Woodinville/20310-131st-Ct-NE-98072/home/287792,June-16-2017,June-2017,98072,1989,329,362
19216 233rd Ave NE,https://www.redfin.com/WA/Woodinville/19216-233rd-Ave-NE-98077/home/272156,June-16-2017,June-2017,98077,1996,212,238
19128 NE 168th St,https://www.redfin.com/WA/Woodinville/19128-NE-168th-St-98072/home/270419,June-16-2017,June-2017,98072,1967,310,365
16616 NE 190th St,https://www.redfin.com/WA/Woodinville/16616-NE-190th-St-98072/home/270764,June-16-2017,June-2017,98072,1933,302,391
17076 140th Ct NE,https://www.redfin.com/WA/Woodinville/17076-140th-Ct-NE-98072/home/18659042,June-16-2017,June-2017,98072,2008,276,290
14006 160th Ave NE,https://www.redfin.com/WA/Woodinville/14006-160th-Ave-NE-98072/home/448074,June-19-2017,June-2017,98072,1974,341,389
16339 124th Pl NE,https://www.redfin.com/WA/Woodinville/16339-124th-Pl-NE-98072/home/453889,June-19-2017,June-2017,98072,1992,293,323
12515 NE 167th Pl,https://www.redfin.com/WA/Woodinville/12515-NE-167th-Pl-98072/home/453091,June-19-2017,June-2017,98072,1984,366,404
19730 NE 169th St,https://www.redfin.com/WA/Woodinville/19730-NE-169th-St-98077/home/272015,June-20-2017,June-2017,98077,1991,285,316
19612 131st Pl NE,https://www.redfin.com/WA/Woodinville/19612-131st-Pl-NE-98072/home/287742,June-20-2017,June-2017,98072,1992,300,330
20922 NE 140th Ct,https://www.redfin.com/WA/Woodinville/20922-NE-140th-Ct-98077/home/452120,June-21-2017,June-2017,98077,1989,342,375
18990 162nd Ave NE,https://www.redfin.com/WA/Woodinville/18990-162nd-Ave-NE-98072/home/271498,June-21-2017,June-2017,98072,1995,350,377
12509 NE 167th Pl,https://www.redfin.com/WA/Woodinville/12509-NE-167th-Pl-98072/home/453090,June-22-2017,June-2017,98072,1985,298,335
17160 128th Pl NE,https://www.redfin.com/WA/Woodinville/17160-128th-Pl-NE-98072/home/454902,June-22-2017,June-2017,98072,1999,299,322
19505 NE 185th St,https://www.redfin.com/WA/Woodinville/19505-NE-185th-St-98077/home/273979,June-23-2017,June-2017,98077,1976,365,411
13013 NE 202nd Pl,https://www.redfin.com/WA/Woodinville/13013-NE-202nd-Pl-98072/home/287622,June-23-2017,June-2017,98072,1992,318,348
15319 NE 204th St,https://www.redfin.com/WA/Woodinville/15319-NE-204th-St-98072/home/108499473,June-23-2017,June-2017,98072,2017,374,379
19833 NE 148th St,https://www.redfin.com/WA/Woodinville/19833-NE-148th-St-98077/home/451783,June-23-2017,June-2017,98077,1986,278,314
19505 NE 165th St,https://www.redfin.com/WA/Woodinville/19505-NE-165th-St-98077/home/270145,June-26-2017,June-2017,98077,1977,256,301
17008 166th Pl NE,https://www.redfin.com/WA/Woodinville/17008-166th-Pl-NE-98072/home/448446,June-26-2017,June-2017,98072,1989,264,297
18347 NE 199th Pl,https://www.redfin.com/WA/Woodinville/18347-NE-199th-Pl-98077/home/273757,June-27-2017,June-2017,98077,1987,294,329
13919 160th Ave NE,https://www.redfin.com/WA/Woodinville/13919-160th-Ave-NE-98072/home/448714,June-27-2017,June-2017,98072,1973,362,411
16019 179 Pl NE,https://www.redfin.com/WA/Woodinville/16019-179th-Pl-NE-98072/home/269572,June-27-2017,June-2017,98072,1970,364,416
20122 148th Ave NE,https://www.redfin.com/WA/Woodinville/20122-148th-Ave-NE-98072/home/271508,June-27-2017,June-2017,98072,1981,300,341
15323 NE 204th St,https://www.redfin.com/WA/Woodinville/15323-NE-204th-St-98072/home/108499471,June-27-2017,June-2017,98072,2017,364,369
18521 131st Pl NE,https://www.redfin.com/WA/Woodinville/18521-132nd-Pl-NE-98072/home/2066945,June-28-2017,June-2017,98072,2005,268,285
16216 Saybrook Dr NE,https://www.redfin.com/WA/Woodinville/16216-Saybrook-Dr-NE-98077/home/273459,June-28-2017,June-2017,98077,1992,275,305
19907 226th Ave NE,https://www.redfin.com/WA/Woodinville/19907-226th-Ave-NE-98077/home/273372,June-28-2017,June-2017,98077,1990,304,336
